"Supplied Name","guid","scientificName","family","kingdom","vernacular","sourceStatus","status"
"Schoenus sculptus","https://id.biodiversity.org.au/node/apni/2903833","Schoenus sculptus","Cyperaceae",,"Gimlet Bog-rush","Rare","Near Threatened"
"Cyperus unioloides","https://id.biodiversity.org.au/node/apni/2895262","Cyperus unioloides","Cyperaceae",,"Mussel Flat-sedge","Presumed Extinct","Extinct"
"Cyperus subulatus","https://id.biodiversity.org.au/node/apni/2906634","Cyperus subulatus","Cyperaceae",,"Pointed Flat-sedge","Vulnerable","Endangered"
"Telicota eurychlora","urn:lsid:biodiversity.org.au:afd.taxon:7b7a0ea1-b8b7-4532-ab49-aecc0a1823ec","Telicota eurychlora","Hesperiidae",,"Dingy Darter","Vulnerable","Endangered"
"Cyperus fulvus","https://id.biodiversity.org.au/node/apni/2911220","Cyperus fulvus","Cyperaceae",,"Sticky Sedge","Vulnerable","Endangered"
"Drepanocladus polygamus","https://id.biodiversity.org.au/node/ausmoss/10072885","Drepanocladus polygamus","Amblystegiaceae",,"Shore Feather-moss","Endangered","Endangered"
"Diuris pedunculata","http://id.biodiversity.org.au/node/apni/2909560","Diuris pedunculata","Orchidaceae",,"Cowslip Orchid","Endangered","Endangered"
"Sicyos australis","https://id.biodiversity.org.au/node/apni/2893741","Sicyos australis","Cucurbitaceae",,"Star Cucumber","Vulnerable","Endangered"
"Falco (Hierofalco) subniger","urn:lsid:biodiversity.org.au:afd.taxon:89f22850-0aa0-4278-ad58-983de7f97890","Falco (Hierofalco) subniger","Falconidae",,"Black Falcon","Vulnerable","Endangered"
"Cherax destructor albidus","urn:lsid:biodiversity.org.au:afd.taxon:86eb45d5-fd4c-4a80-b424-7704f142f952","Cherax destructor albidus","Parastacidae",,"White Yabbie","Data Deficient or Delisted","Least Concern/Unknown"
"Wahlenbergia littoricola","https://id.biodiversity.org.au/node/apni/2893690","Wahlenbergia littoricola","Campanulaceae",,"Granite Bluebell","Rare","Near Threatened"
"Macromitrium longirostre","https://id.biodiversity.org.au/node/ausmoss/10095847","Macromitrium longirostre","Orthotrichaceae",,"Macromitrium","Rare","Near Threatened"
"Senecio helichrysoides","https://id.biodiversity.org.au/node/apni/2894987","Senecio helichrysoides","Asteraceae",,"George's Groundsel","Presumed Extinct","Extinct"
"Calomnion complanatum","https://id.biodiversity.org.au/node/ausmoss/10063076","Calomnion complanatum","Rhizogoniaceae",,"Calomnion Complanatum","Listed under FFG Act",""
"Coturnix chinensis victoriae","urn:lsid:biodiversity.org.au:afd.taxon:18e2970a-1d33-4931-a657-6ad6cd1b9b5d","Excalfactoria chinensis victoriae","Phasianidae",,"King Quail","Listed under FFG Act",""
"Acanthiza (Geobasileus) iredalei hedleyi","urn:lsid:biodiversity.org.au:afd.taxon:d1672ae6-87cc-49ba-bb55-2065ca1a9221","Acanthiza (Geobasileus) iredalei hedleyi","Acanthizidae",,"Slender-billed Thornbill","Near Threatened","Near Threatened"
"Trianthema triquetra","https://id.biodiversity.org.au/node/apni/2899237","Trianthema triquetrum","Aizoaceae",,"Red Spinach","Endangered","Endangered"
"Prasophyllum erythrocommum","https://id.biodiversity.org.au/name/apni/205754","Prasophyllum erythrocommum","Orchidaceae",,"Tan Leek-orchid","Endangered","Endangered"
"Grevillea polybractea","https://id.biodiversity.org.au/node/apni/2920926","Grevillea polybractea","Proteaceae",,"Crimson Grevillea","Rare","Near Threatened"
"Acacia phasmoides","https://id.biodiversity.org.au/node/apni/2904946","Acacia phasmoides","Fabaceae",,"Phantom Wattle","Vulnerable","Endangered"
"Eucalyptus yarraensis","https://id.biodiversity.org.au/node/apni/2906457","Eucalyptus yarraensis","Myrtaceae",,"Yarra Gum","Rare","Near Threatened"
"Samolus eremaeus","https://id.biodiversity.org.au/node/apni/2915668","Samolus eremaeus","Primulaceae",,"Desert Samolus","Rare","Near Threatened"
"Caesia parviflora var. vittata","https://id.biodiversity.org.au/node/apni/2912497","Caesia parviflora var. vittata","Hemerocallidaceae",,"Pale Grass-lily","Poorly Known","Least Concern/Unknown"
"Chorizandra sphaerocephala","https://id.biodiversity.org.au/node/apni/2893923","Chorizandra sphaerocephala","Cyperaceae",,"Roundhead Bristle-sedge","Listed under FFG Act",""
"Argentipallium dealbatum","https://id.biodiversity.org.au/node/apni/2916067","Argentipallium dealbatum","Asteraceae",,"Silver Everlasting","Rare","Near Threatened"
"Schoenus imberbis","https://id.biodiversity.org.au/node/apni/2917441","Schoenus imberbis","Cyperaceae",,"Beardless Bog-rush","Rare","Near Threatened"
"Cullen discolor","https://id.biodiversity.org.au/node/apni/2913650","Cullen discolor","Fabaceae",,"Scurf-pea","Endangered","Endangered"
"Craspedia jamesii","https://id.biodiversity.org.au/node/apni/50009274","Craspedia aurantia var. jamesii","Asteraceae",,"Green Billy-buttons","Rare","Near Threatened"
"Eucalyptus camaldulensis subsp. nov. (Hampton Park)","ALA_Eucalyptus_camaldulensis_subsp_nov_Hampton_Park","Eucalyptus camaldulensis subsp. nov. (Hampton Park)",,,"Lyndhurst Red-gum","Endangered","Endangered"
"Choretrum glomeratum","https://id.biodiversity.org.au/node/apni/2892620","Choretrum glomeratum","Santalaceae",,"Berry Broombush","Rare","Near Threatened"
"Lichenostomus melanops cassidix","urn:lsid:biodiversity.org.au:afd.taxon:71758253-417d-49f8-beb0-4ff3959c3fa3","Lichenostomus melanops cassidix","Meliphagidae",,"Yellow-tufted Honeyeater (helmeted)","Critically Endangered","Endangered"
"Mugilogobius platynotus","urn:lsid:biodiversity.org.au:afd.taxon:07543ace-9f6a-4b71-b1cd-b71e687b7bc3","Mugilogobius platynotus","Gobiidae",,"Flatback Mangrovegoby","Listed under FFG Act",""
"Caladenia amoena","https://id.biodiversity.org.au/node/apni/2898730","Caladenia amoena","Orchidaceae",,"Charming Spider-orchid","Endangered","Endangered"
"Triglochin alcockiae","https://id.biodiversity.org.au/node/apni/2903821","Cycnogeton alcockiae","Juncaginaceae",,"Alcock's Water-ribbons","Rare","Near Threatened"
"Bettongia gaimardi","urn:lsid:biodiversity.org.au:afd.taxon:19c9bfdf-0fbd-4b1b-a7c4-64498290d059","Bettongia gaimardi","Potoroidae",,"Tasmanian Bettong","Regionally Extinct","Extinct"
"Engaeus curvisuturus","urn:lsid:biodiversity.org.au:afd.taxon:8f69c2b5-af28-45ac-85b9-cc32fbf328aa","Engaeus curvisuturus","Parastacidae",,"Curve-tail Burrowing Cray","Endangered","Endangered"
"Arachnocampa species","ALA_Arachnocampa_species","Arachnocampa species",,,"Mt Buffalo Glow-worm","Listed under FFG Act",""
"Abutilon malvifolium","https://id.biodiversity.org.au/node/apni/2887438","Abutilon malvifolium","Malvaceae",,"Mallow-leaf Lantern-flower","Listed under FFG Act",""
"Grevillea microstegia","https://id.biodiversity.org.au/node/apni/2920071","Grevillea microstegia","Proteaceae",,"Mt Cassell Grevillea","Listed under FFG Act",""
"Thelypteris confluens","https://id.biodiversity.org.au/node/apni/2913519","Thelypteris confluens","Thelypteridaceae",,"Swamp Fern","Listed under FFG Act",""
"Diuris protena","https://id.biodiversity.org.au/node/apni/2886326","Diuris protena","Orchidaceae",,"Northern Golden Moths","Endangered","Endangered"
"Astrotricha sp. Victoria Range (V.Stajsic 4207)","https://id.biodiversity.org.au/node/apni/2891065","Astrotricha sp. Victoria Range (V.Stajsic 4207)","Araliaceae",,"Bogong Star-hair","Rare","Near Threatened"
"Ardea (Mesophoyx) intermedia intermedia","urn:lsid:biodiversity.org.au:afd.taxon:2936a378-d7e0-432d-a5b3-9012270b84d2","Ardea (Mesophoyx) intermedia intermedia","Ardeidae",,"Intermediate Egret","Listed under FFG Act",""
"Frankenia crispa","https://id.biodiversity.org.au/node/apni/2901473","Frankenia crispa","Frankeniaceae",,"Hoary Sea-Heath","Rare","Near Threatened"
"Leucochrysum albicans var. tricolor","https://id.biodiversity.org.au/taxon/apni/51268618","Leucochrysum albicans subsp. tricolor","Asteraceae",,"Grassland Paper-daisy","Endangered","Endangered"
"Uperoleia martini","urn:lsid:biodiversity.org.au:afd.taxon:b814b4c7-1780-4dd4-9223-1217f425fe14","Uperoleia martini","Myobatrachidae",,"Martin's Toadlet","Data Deficient or Delisted","Least Concern/Unknown"
"Lomandra micrantha subsp. tuberculata","https://id.biodiversity.org.au/node/apni/2903151","Lomandra micrantha subsp. tuberculata","Asparagaceae",,"Small-flowered Mat-rush","Rare","Near Threatened"
"Lachnagrostis sp. aff. adamsonii","ALA_Lachnagrostis_sp_aff_adamsonii","Lachnagrostis sp. aff. adamsonii",,,"Frood's Blown-grass","Poorly Known","Least Concern/Unknown"
"Allocasuarina nana","https://id.biodiversity.org.au/node/apni/2913303","Allocasuarina nana","Casuarinaceae",,"Stunted Sheoak","Rare","Near Threatened"
"Australopyrum retrofractum","https://id.biodiversity.org.au/node/apni/2890354","Australopyrum retrofractum","Poaceae",,"Comb Wheat-grass","Rare","Near Threatened"
"Pterostylis despectans","https://id.biodiversity.org.au/node/apni/2901078","Pterostylis despectans","Orchidaceae",,"Lowly Greenhood","Endangered","Endangered"
"Limonium australe","https://id.biodiversity.org.au/node/apni/2905229","Limonium australe","Plumbaginaceae",,"Native Sea Lavender","Rare","Near Threatened"
"Baumea laxa","https://id.biodiversity.org.au/node/apni/2898077","Baumea laxa","Cyperaceae",,"Lax Twig-rush","Rare","Near Threatened"
"Hesperilla flavescens flavescens","ALA_Hesperilla_flavescens_flavescens","Hesperilla flavescens flavescens",,,"Yellow Sedge-skipper","Vulnerable","Endangered"
"Diuris fragrantissima","https://id.biodiversity.org.au/node/apni/2921128","Diuris fragrantissima","Orchidaceae",,"Fragrant Doubletail","Listed under FFG Act",""
"Eriochlamys behrii","https://id.biodiversity.org.au/node/apni/2895790","Eriochlamys behrii","Asteraceae",,"Woolly Mantle","Rare","Near Threatened"
"Thelionema umbellatum","https://id.biodiversity.org.au/node/apni/2915717","Thelionema umbellatum","Hemerocallidaceae",,"Clustered Lily","Rare","Near Threatened"
"Podolobium ilicifolium","https://id.biodiversity.org.au/node/apni/2899363","Podolobium ilicifolium","Fabaceae",,"Prickly Shaggy Pea","Rare","Near Threatened"
"Dianella tarda","https://id.biodiversity.org.au/node/apni/2921256","Dianella tarda","Hemerocallidaceae",,"Late-flower Flax-lily","Vulnerable","Endangered"
"Pteris comans","https://id.biodiversity.org.au/node/apni/2886960","Pteris comans","Pteridaceae",,"Hairy Bracken","Rare","Near Threatened"
"Pterostylis prasina","https://id.biodiversity.org.au/name/apni/206491","Pterostylis prasina","Orchidaceae",,"Glossy Greenhood","Rare","Near Threatened"
"Xanthoparmelia victoriana","https://id.biodiversity.org.au/name/apni/121830","Xanthoparmelia victoriana","Parmeliaceae",,"Foliose Lichen","Endangered","Endangered"
"Caladenia reticulata","https://id.biodiversity.org.au/name/apni/92341","Caladenia reticulata","Orchidaceae",,"Veined Caladenia","Vulnerable","Endangered"
"Encalypta vulgaris","https://id.biodiversity.org.au/node/ausmoss/10075012","Encalypta vulgaris","Encalyptaceae",,"Common Extinguisher-moss","Rare","Near Threatened"
"Philoria frosti","urn:lsid:biodiversity.org.au:afd.taxon:c0bc8e92-27b5-44a4-af1a-f7605aee5e5d","Philoria frosti","Limnodynastidae",,"Baw Baw Frog","Critically Endangered","Endangered"
"Leptomeria acida s.s.","ALA_Leptomeria_acida_s_s","Leptomeria acida s.s.",,,"Sour Currant-bush","Rare","Near Threatened"
"Acacia glandulicarpa","https://id.biodiversity.org.au/node/apni/2894806","Acacia glandulicarpa","Fabaceae",,"Hairy-pod Wattle","Listed under FFG Act",""
"Arachnocampa species","ALA_Arachnocampa_species","Arachnocampa species",,,"Mt Buffalo Glow-worm","Vulnerable","Endangered"
"Colobanthus apetalus","https://id.biodiversity.org.au/taxon/apni/51270228","Colobanthus apetalus","Caryophyllaceae",,"Coast Colobanth","Rare","Near Threatened"
"Carex archeri","https://id.biodiversity.org.au/node/apni/2890642","Carex archeri","Cyperaceae",,"Archer's Carex","Vulnerable","Endangered"
"Daviesia laevis","https://id.biodiversity.org.au/node/apni/2910689","Daviesia laevis","Fabaceae",,"Grampians Bitter-pea","Listed under FFG Act",""
"Cyphanthera albicans subsp. albicans","https://id.biodiversity.org.au/node/apni/2900944","Cyphanthera albicans subsp. albicans","Solanaceae",,"Hoary Ray-flower","Rare","Near Threatened"
"Prostanthera arapilensis","https://id.biodiversity.org.au/node/apni/2915220","Prostanthera arapilensis","Lamiaceae",,"Arapiles Mint-bush","Vulnerable","Endangered"
"Celmisia costiniana","https://id.biodiversity.org.au/node/apni/2905446","Celmisia costiniana","Asteraceae",,"Carpet Snow-daisy","Rare","Near Threatened"
"Westringia senifolia","https://id.biodiversity.org.au/node/apni/2918842","Westringia senifolia","Lamiaceae",,"Alpine Westringia","Rare","Near Threatened"
"Lepidium pseudopapillosum","https://id.biodiversity.org.au/node/apni/2915140","Lepidium pseudopapillosum","Brassicaceae",,"Peppercress","Endangered","Endangered"
"Calyptrochaeta otwayensis","https://id.biodiversity.org.au/node/ausmoss/10064787","Calyptrochaeta otwayensis","Daltoniaceae",,"Otway Mitre-moss","Rare","Near Threatened"
"Podocarpus sp. Goonmirk Rocks (S.J.Forbes 1009)","https://id.biodiversity.org.au/node/apni/2900339","Podocarpus lawrencei","Podocarpaceae",,"Errinundra Plum-pine","Rare","Near Threatened"
"Pimelea biflora","https://id.biodiversity.org.au/node/apni/2915196","Pimelea biflora","Thymelaeaceae",,"Matted Rice-flower","Rare","Near Threatened"
"Pterostylis aff. aciculiformis (Beechworth)","https://id.biodiversity.org.au/name/apni/73943","Pterostylis aciculiformis","Orchidaceae",,"Beechworth Ruddyhood","Poorly Known","Least Concern/Unknown"
"Temognatha duboulayi","urn:lsid:biodiversity.org.au:afd.taxon:177e7c8f-539c-4d93-a943-f92422e2d2b8","Temognatha duboulayi","Buprestidae",,"Jewel Beetle","Data Deficient or Delisted","Least Concern/Unknown"
"Euastacus bispinosus","urn:lsid:biodiversity.org.au:afd.taxon:02f97296-26f8-4710-abdd-f9d859659c2d","Euastacus bispinosus","Parastacidae",,"Pricklyback","Endangered","Endangered"
"Ogyris otanes otanes","urn:lsid:biodiversity.org.au:afd.taxon:e3169bec-3649-4709-a40a-523b21732ea8","Ogyris otanes otanes","Lycaenidae",,"Small Bronze Azure","Listed under FFG Act",""
"Prasophyllum sp. aff. correctum (Mortlake)","ALA_Prasophyllum_sp_aff_correctum_Mortlake","Prasophyllum sp. aff. correctum (Mortlake)",,,"Western Gaping Leek-orchid","Endangered","Endangered"
"Oreoica gutturalis gutturalis","urn:lsid:biodiversity.org.au:afd.taxon:8e4a8c10-1618-4466-b1fb-c5cd5ce75426","Oreoica gutturalis gutturalis","Oreoididae",,"Crested Bellbird","Near Threatened","Near Threatened"
"Apsolidium handrecki","urn:lsid:biodiversity.org.au:afd.taxon:a5cdf47c-e4c8-462f-babf-d59daf9a0ea8","Apsolidium handrecki","Cucumariidae",,"Sea Cucumber","Vulnerable","Endangered"
"Dasyurus viverrinus","urn:lsid:biodiversity.org.au:afd.taxon:52149285-a12a-4085-a285-b41af5ba3ce3","Dasyurus viverrinus","Dasyuridae",,"Eastern Quoll","Listed under FFG Act",""
"Metzgeria saccata","https://id.biodiversity.org.au/node/ausmoss/2909812","Metzgeria saccata","Metzgeriaceae",,"Lobed Veilwort","Vulnerable","Endangered"
"Leiocarpa gatesii","https://id.biodiversity.org.au/node/apni/2906350","Leiocarpa gatesii","Asteraceae",,"Wrinkled Buttons","Listed under FFG Act",""
"Angianthus brachypappus","https://id.biodiversity.org.au/node/apni/2921258","Angianthus brachypappus","Asteraceae",,"Spreading Angianthus","Vulnerable","Endangered"
"Thelymitra mackibbinii","https://id.biodiversity.org.au/node/apni/2902669","Thelymitra x mackibbinii","Orchidaceae",,"Brilliant Sun Orchid","Listed under FFG Act",""
"Rytidosperma monticola","https://id.biodiversity.org.au/node/apni/2886204","Rytidosperma monticola","Poaceae",,"Small-flower Wallaby-grass","Rare","Near Threatened"
"Brachyscome chrysoglossa","https://id.biodiversity.org.au/node/apni/2921043","Brachyscome chrysoglossa","Asteraceae",,"Yellow-tongue Daisy","Vulnerable","Endangered"
"Carex pyrenaica var. cephalotes","https://id.biodiversity.org.au/node/apni/2892693","Carex pyrenaica var. cephalotes","Cyperaceae",,"Snow Sedge","Vulnerable","Endangered"
"Discaria pubescens","https://id.biodiversity.org.au/node/apni/2889216","Discaria pubescens","Rhamnaceae",,"Australian Anchor Plant","Rare","Near Threatened"
"Levenhookia pusilla","https://id.biodiversity.org.au/node/apni/2891342","Levenhookia pusilla","Stylidiaceae",,"Midget Stylewort","Vulnerable","Endangered"
"Glossostigma diandrum","https://id.biodiversity.org.au/node/apni/2919110","Glossostigma diandrum","Phrymaceae",,"Spoon-leaf Mud-mat","Vulnerable","Endangered"
"Senecio macrocarpus","https://id.biodiversity.org.au/node/apni/2890874","Senecio macrocarpus","Asteraceae",,"Large-headed Groundsel","Endangered","Endangered"
"Stagonopleura (Stagonopleura) guttata","urn:lsid:biodiversity.org.au:afd.taxon:3121bb31-77e1-4902-8af3-4605c41e8d84","Stagonopleura (Stagonopleura) guttata","Estrildidae",,"Diamond Firetail","Vulnerable","Endangered"
"Eucalyptus cyanophylla","https://id.biodiversity.org.au/node/apni/2898406","Eucalyptus cyanophylla","Myrtaceae",,"Blue leaved Mallee","Rare","Near Threatened"
"Pterostylis lustra","https://id.biodiversity.org.au/name/apni/203337","Pterostylis lustra","Orchidaceae",,"Forked Greenhood","Listed under FFG Act",""
"Leptoperla kallistae","urn:lsid:biodiversity.org.au:afd.taxon:7129a62a-3f07-405d-b06e-737afc3024e0","Leptoperla kallistae","Gripopterygidae",,"Kallista Flightless Stonefly","Critically Endangered","Endangered"
"Frankenia serpyllifolia","https://id.biodiversity.org.au/node/apni/2919339","Frankenia serpyllifolia","Frankeniaceae",,"Bristly Sea-heath","Rare","Near Threatened"
"Rhizogonium pennatum var. aristatum","https://id.biodiversity.org.au/node/ausmoss/10109401","Rhizogonium pennatum var. aristatum","Rhizogoniaceae",,"Thyme Moss","Rare","Near Threatened"
"Isoodon obesulus obesulus","urn:lsid:biodiversity.org.au:afd.taxon:1444c408-56fb-4284-a05e-c961a4c8ba35","Isoodon obesulus obesulus","Peramelidae",,"Southern Brown Bandicoot","Listed under FFG Act",""
"Chiloglottis aff. valida (Alpine)","https://id.biodiversity.org.au/name/apni/117401","Chiloglottis valida","Orchidaceae",,"Alpine Bird-orchid","Poorly Known","Least Concern/Unknown"
"Callitriche brachycarpa","https://id.biodiversity.org.au/node/apni/2901855","Callitriche brachycarpa","Plantaginaceae",,"Short Water-starwort","Vulnerable","Endangered"
"Campylopus chilensis","https://id.biodiversity.org.au/node/ausmoss/10066095","Campylopus chilensis","Leucobryaceae",,"Swan-neck Moss","Poorly Known","Least Concern/Unknown"
"Amyema pendula subsp. longifolia","https://id.biodiversity.org.au/node/apni/2903302","Amyema pendula subsp. longifolia","Loranthaceae",,"Drooping Mistletoe","Rare","Near Threatened"
"Elachanthus pusillus","https://id.biodiversity.org.au/node/apni/2918532","Elachanthus pusillus","Asteraceae",,"Elachanth","Rare","Near Threatened"
"Pterostylis aciculiformis","https://id.biodiversity.org.au/name/apni/73943","Pterostylis aciculiformis","Orchidaceae",,"Slender Ruddyhood","Poorly Known","Least Concern/Unknown"
"Leptospermum multicaule","https://id.biodiversity.org.au/node/apni/2901874","Leptospermum multicaule","Myrtaceae",,"Silver Teatree","Vulnerable","Endangered"
