,Scientific name,Common name,Class,WA listing,National listing,Kimberley,Pilbara,Goldfields,Midwest,Wheatbelt,South Coast,Swan,South West,Warren,WA listing.1,Notes
27,Anous tenuirostris melanops,Australian lesser noddy,BIRD,EN,VU,X,X,,X,,,X,X,,Threatened species - Endangered under the Biodiversity Conservation Act 2016.,
28,Anoxypristis cuspidata,narrow sawfish,FISH,MI,MI,X,X,,,,,,,,Specially protected species - Migratory species under the Biodiversity Conservation Act 2016.,30/09/2022 Listed as a specially protected migratory species. 
29,Antichiropus sp. 'DIP004',Roy Hill Antichiropus millipede,INVERTEBRATE,P1,,,X,,,,,,,,DBCA Priority species.,
30,Antichiropus sp. 'DIP005',Abydos Antichiropus millipede,INVERTEBRATE,P1,,,X,,,,,,,,DBCA Priority species.,
31,Antichiropus sp. 'DIP006',Area C Antichiropus millipede,INVERTEBRATE,P1,,,X,,,,,,,,DBCA Priority species.,
32,Antichiropus sp. 'DIP007',Bond's Antichiropus millipede,INVERTEBRATE,P1,,,X,,,,,,,,DBCA Priority species.,
33,Antichiropus sp. 'DIP008',Flinders Antichiropus millipede,INVERTEBRATE,P1,,,X,,,,,,,,DBCA Priority species.,
34,Antichiropus sp. 'DIP013',Cloudbreak Antichiropus millipede,INVERTEBRATE,P1,,,X,,,,,,,,DBCA Priority species.,
35,Antichiropus sp. 'DIP029',Mt Bruce Antichiropus millipede,INVERTEBRATE,P1,,,X,,,,,,,,DBCA Priority species.,
36,Antipodogomphus hodgkini,Pilbara dragonfly,INVERTEBRATE,P3,,,X,,,,,,,,DBCA Priority species.,
37,Aprasia haroldi,Shark Bay worm-lizard,REPTILE,P1,,,,,X,,,,,,DBCA Priority species.,
38,Aprasia rostrata,Ningaloo worm lizard,REPTILE,P3,,,X,,,,,,,,DBCA Priority species.,
39,Apus pacificus,fork-tailed swift,BIRD,MI,MI,X,X,X,X,X,X,X,X,X,Specially protected species - Migratory species under the Biodiversity Conservation Act 2016.,
40,Arctocephalus forsteri,"New Zealand fur seal, long-nosed fur seal",MAMMAL,OS,,,,,X,,X,X,X,X,Specially protected species - Species otherwise in need of special protection (other specially protected) under the Biodiversity Conservation Act 2016.,"30/09/2022 Second scientific name, Arctophoca australis forsteri, removed from Order. Common name format changed. "
41,Arctocephalus tropicalis,Subantarctic fur seal,MAMMAL,VU,EN,,,,,,X,X,X,,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,30/09/2022 Common name format changed. 
42,Ardenna carneipes,flesh-footed shearwater,BIRD,VU,MI,,,,X,,X,X,X,X,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,"30/09/2022 Repeal of migratory listing. Under the WA BC Act a species listed as threatened cannot also be listed as specially protected. Second scientific name, Puffinus carneipes, removed from Order. Second common name removed. "
43,Ardenna grisea,sooty shearwater,BIRD,MI,MI,,,,,,X,,,,Specially protected species - Migratory species under the Biodiversity Conservation Act 2016.,
44,Ardenna pacifica,wedge-tailed shearwater,BIRD,MI,MI,X,X,,X,,,X,X,,Specially protected species - Migratory species under the Biodiversity Conservation Act 2016.,
45,Ardenna tenuirostris,short-tailed shearwater,BIRD,MI,MI,,,,,,X,,X,X,Specially protected species - Migratory species under the Biodiversity Conservation Act 2016.,
46,Arenaria interpres,ruddy turnstone,BIRD,MI,MI,X,X,X,X,X,X,X,X,X,Specially protected species - Migratory species under the Biodiversity Conservation Act 2016.,
47,Aspidites ramsayi (southwest subpopulation),woma (southwest subpopulation),REPTILE,P1,,,,X,X,X,,X,,,DBCA Priority species.,
48,Atelomastix anancita,Cape Arid atelomastix millipede,INVERTEBRATE,VU,,,,,,,X,,,,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
49,Atelomastix brennani,Brennan’s atelomastix millipede,INVERTEBRATE,VU,,,,,,,X,,,,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
50,Atelomastix culleni,Cullen’s atelomastix millipede,INVERTEBRATE,VU,,,,,,,X,,,,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
51,Atelomastix danksi,Toolbrunup atelomastix millipede,INVERTEBRATE,VU,,,,,,,X,,,,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
52,Atelomastix dendritica,Recherche atelomastix millipede,INVERTEBRATE,VU,,,,,,,X,,,,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
53,Atelomastix flavognatha,yellow jawed atelomastix millipede,INVERTEBRATE,VU,,,,,,,X,,,,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
54,Atelomastix grandis,Le Grand atelomastix millipede,INVERTEBRATE,VU,,,,,,,X,,,,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
55,Atelomastix julianneae,Waldock’s atelomastix millipede,INVERTEBRATE,VU,,,,,,,X,,,,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
56,Atelomastix lengae,Leng’s atelomastix millipede,INVERTEBRATE,VU,,,,,,,X,,,,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
57,Atelomastix longbottomi,Longbottom’s atelomastix millipede,INVERTEBRATE,VU,,,,,,,X,,,,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
58,Atelomastix melindae,Moir’s atelomastix millipede,INVERTEBRATE,VU,,,,,,,X,,,,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
59,Atelomastix poustiei,Wedge Hill atelomastix millipede,INVERTEBRATE,VU,,,,,,,X,,,,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
60,Atelomastix priona,saw atelomastix millipede,INVERTEBRATE,VU,,,,,,,X,,,,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
61,Atelomastix sarahae,Comer’s atelomastix millipede,INVERTEBRATE,VU,,,,,,,X,,,,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
62,Atelomastix tigrina,striped atelomastix millipede,INVERTEBRATE,VU,,,,,,,X,,,,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
63,Atelomastix tumula,Bluff Knoll atelomastix millipede,INVERTEBRATE,VU,,,,,,,X,,,,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
64,Atrichornis clamosus,"noisy scrub-bird, tjimiluk",BIRD,EN,EN,,,,,,X,X,X,X,Threatened species - Endangered under the Biodiversity Conservation Act 2016.,
65,Australotomurus morbidus,"cemetery springtail, Guildford springtail",INVERTEBRATE,P3,,,,,,,,X,,,DBCA Priority species.,
66,Austroassiminea letha,Cape Leeuwin freshwater snail,INVERTEBRATE,VU,,,,,,,,,X,,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
67,Austroconops mcmillani,McMillan's biting midge (Swan Coastal Plain),INVERTEBRATE,P2,,,,,,,,X,,,DBCA Priority species.,
68,Austrosaga spinifer,spiny katydid (Swan Coastal Plain),INVERTEBRATE,P2,,,,,X,,,X,,,DBCA Priority species.,
69,Balaenoptera bonaerensis,Antarctic minke whale,MAMMAL,MI,MI,,,,,,X,,,X,Specially protected species - Migratory species under the Biodiversity Conservation Act 2016.,30/09/2022 Listed as a specially protected migratory species. 
70,Balaenoptera borealis,sei whale,MAMMAL,EN,VU & MI,X,X,,X,,X,X,X,X,Threatened species - Endangered under the Biodiversity Conservation Act 2016.,
71,Balaenoptera edeni,Bryde's whale,MAMMAL,MI,MI,,X,,X,,,,,,Specially protected species - Migratory species under the Biodiversity Conservation Act 2016.,30/09/2022 Listed as a specially protected migratory species. 
72,Balaenoptera musculus,blue whale,MAMMAL,EN,EN & MI,X,X,,X,,X,X,X,X,Threatened species - Endangered under the Biodiversity Conservation Act 2016.,
73,Balaenoptera physalus,fin whale,MAMMAL,EN,VU & MI,X,X,,X,,X,X,X,X,Threatened species - Endangered under the Biodiversity Conservation Act 2016.,
74,Bamazomus subsolanus,eastern Cape Range bamazomus,INVERTEBRATE,EN,,,X,,,,,,,,Threatened species - Endangered under the Biodiversity Conservation Act 2016.,
75,Bamazomus vespertinus,western Cape Range bamazomus,INVERTEBRATE,EN,,,X,,,,,,,,Threatened species - Endangered under the Biodiversity Conservation Act 2016.,
76,Baudinella baudinensis,Baudin Island camaenid land snail,INVERTEBRATE,P3,,X,,,,,,,,,DBCA Priority species.,
77,Bertmainius colonus,Eastern Stirling Range pygmy trapdoor spider,INVERTEBRATE,VU,VU,,,,,,X,,,,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
78,Bertmainius monachus,Talyuberlup pygmy trapdoor spider,INVERTEBRATE,EN,,,,,,X,X,,,,Threatened species - Endangered under the Biodiversity Conservation Act 2016.,
79,Bertmainius mysticus,mystical pygmy trapdoor spider,INVERTEBRATE,P2,,,,,,,,,,X,DBCA Priority species.,
80,Bertmainius opimus,western pygmy trapdoor spider,INVERTEBRATE,P3,,,,,,,,,X,X,DBCA Priority species.,
81,Bertmainius pandus,Toolbrunup pygmy trapdoor spider,INVERTEBRATE,CR,,,,,,,X,,,,Threatened species - Critically endangered under the Biodiversity Conservation Act 2016.,
82,Bertmainius tingle,Tingle pygmy trapdoor spider,INVERTEBRATE,EN,EN,,,,,,,,X,X,Threatened species - Endangered under the Biodiversity Conservation Act 2016.,
83,Bertmainius tumidus,thick-legged pygmy trapdoor spider,INVERTEBRATE,EN,,,,,,,X,,,,Threatened species - Endangered under the Biodiversity Conservation Act 2016.,
84,Bettongia anhydra,desert bettong,MAMMAL,EX,EX,,,,X,,X,,,,Extinct species under the Biodiversity Conservation Act 2016.,
85,Bettongia lesueur graii,"burrowing bettong (inland), boodie (inland)",MAMMAL,EX,EX,X,X,,X,X,X,X,,,Extinct species under the Biodiversity Conservation Act 2016.,30/09/2022 Order of common names changed to indicate preference given by taxonomic authorities. 
86,Bettongia lesueur lesueur,"Shark Bay burrowing bettong, boodie (Shark Bay)",MAMMAL,CD,VU,,,,X,,,,,,Specially protected species - Species of special conservation interest (conservation dependent) under the Biodiversity Conservation Act 2016.,30/09/2022 Order of common names changed to indicate preference given by taxonomic authorities. 
87,Bettongia lesueur subsp. (Barrow and Boodie Islands),"Barrow Island burrowing bettong, boodie (Barrow and Boodie Islands)",MAMMAL,CD,VU,,X,,,,,,,,Specially protected species - Species of special conservation interest (conservation dependent) under the Biodiversity Conservation Act 2016.,30/09/2022 Order of common names changed to indicate preference given by taxonomic authorities. 
88,Bettongia penicillata ogilbyi,"woylie, brush-tailed bettong",MAMMAL,CR,EN,,,,,X,X,X,X,X,Threatened species - Critically endangered under the Biodiversity Conservation Act 2016.,
89,Bettongia pusilla,Nullarbor dwarf bettong,MAMMAL,EX,EX,,,,,,X,,,,Extinct species under the Biodiversity Conservation Act 2016.,30/09/2022 Common name format changed. 
90,Bogidomma australis,Barrow Island bogidomma amphipod,INVERTEBRATE,VU,,,X,,,,,,,,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
91,Botaurus poiciloptilus,Australasian bittern,BIRD,EN,EN,X,,,X,X,X,X,X,X,Threatened species - Endangered under the Biodiversity Conservation Act 2016.,
92,Bothriembryon bradshawi,Bradshaw's bothriembryontid land snail (Tambellup),INVERTEBRATE,P3,,,,,,X,,,,,DBCA Priority species.,
93,Bothriembryon brazieri,Brazier's bothriembryontid land snail (Sitrling Ranges and Porongorups),INVERTEBRATE,P2,,,,,,,X,,,,DBCA Priority species.,
94,Bothriembryon glauerti,a bothriembryontid land snail (Stirling Ranges),INVERTEBRATE,P2,,,,,,,X,,,,DBCA Priority species.,
95,Bothriembryon irvineanus,Irvine's bothriembryontid land snail (Cape Naturaliste),INVERTEBRATE,P2,,,,,,,,,X,,DBCA Priority species.,
96,Bothriembryon perobesus,a bothriembryontid land snail (Moore River),INVERTEBRATE,P1,,,,,X,,,,,,DBCA Priority species.,
97,Bothriembryon praecelsus,a bothriembryontid land snail (Kellerberrin),INVERTEBRATE,EX,,X,,,,X,,,,,Extinct species under the Biodiversity Conservation Act 2016.,
98,Bothriembryon whitleyi,Whitley's bothriembryontid land snail (Geraldton),INVERTEBRATE,EX,,X,,,X,,,,,,Extinct species under the Biodiversity Conservation Act 2016.,
99,Branchinella apophysata,a fairy shrimp (Laverton),INVERTEBRATE,P1,,,,X,,,,,,,DBCA Priority species.,
100,Branchinella basispina,a fairy shrimp (Balladonia-Norseman),INVERTEBRATE,P3,,,,,,X,X,,,,DBCA Priority species.,
101,Branchinella denticulata,a fairy shrimp (Carnavon to Kalgoorlie),INVERTEBRATE,P3,,,,X,X,,,,,,DBCA Priority species.,
102,Branchinella simplex,a fairy shrimp (inland WA),INVERTEBRATE,P1,,,,X,X,X,,,,,DBCA Priority species.,
103,Branchinella wellardi,a fairy shrimp (Carnarvon and Murchison),INVERTEBRATE,P3,,,,,X,,,,,,DBCA Priority species.,
104,Budginmaya eulae,Eula's planthopper,INVERTEBRATE,P1,,,,,,,X,,,,DBCA Priority species.,
105,Bulweria bulwerii,Bulwer's petrel,BIRD,MI,MI,X,,,,,,,,,Specially protected species - Migratory species under the Biodiversity Conservation Act 2016.,
106,Bunderia misophaga,a copepod (Bundera Sinkhole),INVERTEBRATE,CR,,,X,,,,,,,,Threatened species - Critically endangered under the Biodiversity Conservation Act 2016.,
107,Cacatua pastinator pastinator,Muir's corella,BIRD,CD,,,,,,X,X,X,X,X,Specially protected species - Species of special conservation interest (conservation dependent) under the Biodiversity Conservation Act 2016.,
108,Calamanthus campestris dorrie,Dorre Island rufous fieldwren,BIRD,VU,,,,,X,,,,,,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
109,Calamanthus campestris hartogi,Dirk Hartog Island rufous fieldwren,BIRD,VU,,,,,X,,,,,,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
110,Calamoecia elongata,a copepod (Northcliffe),INVERTEBRATE,P3,,,,,,,,,,X,DBCA Priority species.,
111,Calidris acuminata,sharp-tailed sandpiper,BIRD,MI,MI,X,X,X,X,X,X,X,X,X,Specially protected species - Migratory species under the Biodiversity Conservation Act 2016.,
112,Calidris alba,sanderling,BIRD,MI,MI,X,X,X,X,X,X,X,X,X,Specially protected species - Migratory species under the Biodiversity Conservation Act 2016.,"30/09/2022 Second scientific name, Crocethia alba, added to Order, as it applies to the listing under international agreements."
113,Calidris canutus,red knot,BIRD,EN,EN & MI,X,X,,X,,X,X,X,X,Threatened species - Endangered under the Biodiversity Conservation Act 2016.,30/09/2022 Repeal of migratory listing. Under the WA BC Act a species listed as threatened cannot also be listed as specially protected. 
114,Calidris ferruginea,curlew sandpiper,BIRD,CR,CR & MI,X,X,X,X,X,X,X,X,X,Threatened species - Critically endangered under the Biodiversity Conservation Act 2016.,30/09/2022 Repeal of migratory listing. Under the WA BC Act a species listed as threatened cannot also be listed as specially protected. 
115,Calidris melanotos,pectoral sandpiper,BIRD,MI,MI,X,X,X,X,X,X,X,X,X,Specially protected species - Migratory species under the Biodiversity Conservation Act 2016.,
116,Calidris ruficollis,red-necked stint,BIRD,MI,MI,X,X,X,X,X,X,X,X,X,Specially protected species - Migratory species under the Biodiversity Conservation Act 2016.,
117,Calidris subminuta,long-toed stint,BIRD,MI,MI,X,X,X,X,X,X,X,X,X,Specially protected species - Migratory species under the Biodiversity Conservation Act 2016.,
118,Calidris tenuirostris,great knot,BIRD,CR,CR & MI,X,X,,X,X,X,X,X,X,Threatened species - Critically endangered under the Biodiversity Conservation Act 2016.,30/09/2022 Repeal of migratory listing. Under the WA BC Act a species listed as threatened cannot also be listed as specially protected. 
119,Calonectris leucomelas,streaked shearwater,BIRD,MI,MI,X,X,X,X,,,X,,,Specially protected species - Migratory species under the Biodiversity Conservation Act 2016.,
120,Calyptorhynchus banksii naso,forest red-tailed black cockatoo,BIRD,VU,VU,,,,,X,X,X,X,X,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
121,Calyptorhynchus baudinii,Baudin's cockatoo,BIRD,EN,EN,,,,,X,X,X,X,X,Threatened species - Endangered under the Biodiversity Conservation Act 2016.,
122,Calyptorhynchus latirostris,Carnaby's cockatoo,BIRD,EN,EN,,,X,X,X,X,X,X,X,Threatened species - Endangered under the Biodiversity Conservation Act 2016.,
123,Caperea marginata,pygmy right whale,MAMMAL,MI,MI,,X,,X,,X,X,X,X,Specially protected species - Migratory species under the Biodiversity Conservation Act 2016.,30/09/2022 Listed as a specially protected migratory species. 
124,Carcharhinus falciformis,silky shark,FISH,MI,MI,X,X,,X,,,X,,,Specially protected species - Migratory species under the Biodiversity Conservation Act 2016.,30/09/2022 Listed as a specially protected migratory species. 
125,Carcharias taurus,grey nurse shark,FISH,VU,VU,,X,,X,,X,X,X,X,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
126,Carcharodon carcharias,great white shark,FISH,VU,VU & MI,X,X,,X,,X,X,X,X,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
127,Caretta caretta,loggerhead turtle,REPTILE,EN,EN & MI,X,X,,X,,X,X,X,X,Threatened species - Endangered under the Biodiversity Conservation Act 2016.,
128,Carinotrachia carsoniana,Carson River camaenid land snail,INVERTEBRATE,VU,,X,,,,,,,,,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
129,Cecropis daurica,red-rumped swallow,BIRD,MI,MI,X,,,,,,,,,Specially protected species - Migratory species under the Biodiversity Conservation Act 2016.,
130,Cereopsis novaehollandiae grisea,Recherche Cape Barren goose,BIRD,VU,VU,,,,,,X,,X,X,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
131,Cetorhinus maximus,basking shark,FISH,MI,MI,X,X,,X,,X,X,X,X,Specially protected species - Migratory species under the Biodiversity Conservation Act 2016.,30/09/2022 Listed as a specially protected migratory species. 
132,Chaeropus ecaudatus,"pig-footed bandicoot, kantjilpa",MAMMAL,EX,EX,,X,,X,X,X,,,,Extinct species under the Biodiversity Conservation Act 2016.,
133,Chaeropus yirratji ,"northern pig-footed bandicoot, yirratji",MAMMAL,EX,EX,X,X,X,,,,,,,Extinct species under the Biodiversity Conservation Act 2016.,"30/09/2022 Listed as an extinct species. Described as a new species by Travouillon et al. 2019. Previous distribution inferred as central and eastern Australia (in WA - Pilbara, Kimberley, and Goldfields regions). Last known to be alive in approx. 1950s."
134,Charadrius bicinctus,double-banded plover,BIRD,MI,MI,,,,,,X,X,X,X,Specially protected species - Migratory species under the Biodiversity Conservation Act 2016.,
135,Charadrius dubius,little ringed plover,BIRD,MI,MI,X,X,,X,,,X,,,Specially protected species - Migratory species under the Biodiversity Conservation Act 2016.,
136,Charadrius leschenaultii,"greater sand plover, large sand plover",BIRD,VU,VU & MI,X,X,,X,,X,X,X,X,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,30/09/2022 Repeal of migratory listing. Under the WA BC Act a species listed as threatened cannot also be listed as specially protected. 
137,Charadrius mongolus,lesser sand plover,BIRD,EN,EN & MI,X,X,,X,,X,X,X,X,Threatened species - Endangered under the Biodiversity Conservation Act 2016.,30/09/2022 Repeal of migratory listing. Under the WA BC Act a species listed as threatened cannot also be listed as specially protected. 
138,Charadrius veredus,oriental plover,BIRD,MI,MI,X,X,X,X,,X,,,,Specially protected species - Migratory species under the Biodiversity Conservation Act 2016.,
139,Chelonia mydas,green turtle,REPTILE,VU,VU & MI,X,X,,X,,X,X,X,X,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
140,Cherax tenuimanus,Margaret River hairy marron,INVERTEBRATE,CR,CR,,,,,,,,X,,Threatened species - Critically endangered under the Biodiversity Conservation Act 2016.,
141,Chlidonias leucopterus,white-winged black tern,BIRD,MI,MI,X,X,,X,,X,X,X,X,Specially protected species - Migratory species under the Biodiversity Conservation Act 2016.,30/09/2022 Second common name removed. 
142,Christinus sp. 'Cape Le Grand',Cape Le Grand gecko,REPTILE,P2,,,,,,,X,,,,DBCA Priority species.,
143,Conilurus penicillatus penicillatus,"brush-tailed rabbit-rat, pakooma",MAMMAL,VU,VU,X,,,,,,,,,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
144,Craterocephalus helenae,Drysdale hardyhead,FISH,P2,,X,,,,,,,,,DBCA Priority species.,
145,Craterocephalus lentiginosus,Prince Regent hardyhead,FISH,P2,,X,,,,,,,,,DBCA Priority species.,
146,Crenadactylus sp. 'Cape Range',Cape Range Crenadactylus,REPTILE,P2,,,X,,,,,,,,DBCA Priority species.,
147,Crinia fimbriata,Kimberley froglet,AMPHIBIAN,P3,,X,,,,,,,,,DBCA Priority species.,
148,Cristilabrum bubulum,a camaenid land snail (Ningbing Ranges),INVERTEBRATE,EN,,X,,,,,,,,,Threatened species - Endangered under the Biodiversity Conservation Act 2016.,
149,Cristilabrum buryillum,Buryill Point camaenid land snail (Ningbing Ranges),INVERTEBRATE,CR,,X,,,,,,,,,Threatened species - Critically endangered under the Biodiversity Conservation Act 2016.,
150,Cristilabrum grossum,a camaenid land snail (Ningbing Ranges),INVERTEBRATE,CR,,X,,,,,,,,,Threatened species - Critically endangered under the Biodiversity Conservation Act 2016.,
151,Cristilabrum isolatum,a camaenid land snail (Sandy Creek),INVERTEBRATE,EN,,X,,,,,,,,,Threatened species - Endangered under the Biodiversity Conservation Act 2016.,
152,Cristilabrum monodon,a camaenid land snail (Ningbing Ranges),INVERTEBRATE,CR,,X,,,,,,,,,Threatened species - Critically endangered under the Biodiversity Conservation Act 2016.,
153,Cristilabrum primum,a camaenid land snail (Ningbing Ranges),INVERTEBRATE,CR,,X,,,,,,,,,Threatened species - Critically endangered under the Biodiversity Conservation Act 2016.,
154,Cristilabrum rectum,a camaenid land snail (central Ningbing Ranges),INVERTEBRATE,CR,,X,,,,,,,,,Threatened species - Critically endangered under the Biodiversity Conservation Act 2016.,
155,Cristilabrum simplex,a camaenid land snail (Ningbing Ranges),INVERTEBRATE,CR,,X,,,,,,,,,Threatened species - Critically endangered under the Biodiversity Conservation Act 2016.,
156,Cristilabrum solitudum,a camaenid land snail (Ningbing Ranges),INVERTEBRATE,CR,,X,,,,,,,,,Threatened species - Critically endangered under the Biodiversity Conservation Act 2016.,
157,Cristilabrum spectaculum,a camaenid land snail (Jeremiah Hills),INVERTEBRATE,EN,,X,,,,,,,,,Threatened species - Endangered under the Biodiversity Conservation Act 2016.,
158,Crocodylus johnstoni,Australian freshwater crocodile,REPTILE,OS,,X,,,,,,,,,Specially protected species - Species otherwise in need of special protection (other specially protected) under the Biodiversity Conservation Act 2016.,
159,Crocodylus porosus,saltwater crocodile,REPTILE,MI,MI,X,X,,,,,,,,Specially protected species - Migratory species under the Biodiversity Conservation Act 2016.,30/09/2022 Listed as a specially protected migratory species. Format of common name changed. 
160,Cryptagama aurita,gravel dragon,REPTILE,P1,,X,,,,,,,,,DBCA Priority species.,
161,Ctenophorus nguyarna,Lake Disappointment dragon,REPTILE,P1,,,X,X,,,,,,,DBCA Priority species.,
162,Ctenophorus yinnietharra,Yinnietharra rock dragon,REPTILE,VU,VU,,,,X,,,,,,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
163,Ctenotus angusticeps,"Airlie Island Ctenotus, Northwestern coastal Ctenotus",REPTILE,P3,,X,X,,,,,,,,DBCA Priority species.,
164,Ctenotus decaneurus yampiensis,Yampi Ctenotus,REPTILE,P2,,X,,,,,,,,,DBCA Priority species.,
165,Ctenotus delli,"Dell's skink, Darling Range southwest Ctenotus",REPTILE,P4,,,,,,,,X,X,,DBCA Priority species.,
166,Ctenotus gemmula (Swan Coastal Plain subpopulation),jewelled southwest Ctenotus (Swan Coastal Plain subpopulation),REPTILE,P3,,,,,X,,,X,,,DBCA Priority species.,
167,Ctenotus lancelini,Lancelin Island skink,REPTILE,VU,VU,,,,X,,,,,,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
168,Ctenotus nigrilineatus,pin-striped finesnout Ctenotus,REPTILE,P1,,,X,,,,,,,,DBCA Priority species.,
169,Ctenotus ora,Coastal Plains skink,REPTILE,P3,,,,,,,,X,X,,DBCA Priority species.,
170,Ctenotus uber johnstonei,spotted Ctenotus (northeast),REPTILE,P2,,X,X,,,,,,,,DBCA Priority species.,
