category,subcategory,scientificName,scientificNameAuthorship,vernacularName,ngunnawalName,synonym,acceptedNameUsage,taxonomicStatus,taxonRank,kingdom,phylum,class,order,family,genus,taxonRemarks,conservationStatusACT,conservationStatusAUS,authority,speciesSensitivity,generalisation,sensitivityReason,statusComment
Bird,,Ninox strenua,"(Gould, 1838)",Powerful Owl,Mugmug,,Ninox (Rhabdoglaux) strenua,accepted,species,Animalia,Chordata,Aves,Strigiformes,Strigidae,Ninox,,,,,Sensitive,1km,Risk of disturbance,
Bird,,Polytelis swainsonii,"(Desmarest, 1826)",Superb Parrot,,,Polytelis swainsonii,accepted,species,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Polytelis,,Vulnerable,Vulnerable,Nature Conservation Act 2014,Sensitive,1km,Breeding trees sensitive to disturbance,
Frog,,Litoria aurea,"(Lesson, 1829)",Green and Golden Bell Frog,,,Litoria aurea,accepted,species,Animalia,Chordata,Amphibia,Anura,Hylidae,Litoria,,Vulnerable,Vulnerable,Nature Conservation Act 2014,Sensitive,1km,Locally extinct but protection required if relocated,Locally extinct
Frog,,Litoria castanea,"(Steindachner, 1867)",Yellow-spotted Bell Frog,,,Litoria castanea,accepted,species,Animalia,Chordata,Amphibia,Anura,Hylidae,Litoria,,Critically Endangered,Endangered,Nature Conservation Act 2014,Sensitive,1km,Locally extinct but protection required if relocated,Locally extinct
Frog,,Litoria raniformis,"(Keferstein, 1867)",Southern Bell Frog,,,Litoria raniformis,accepted,species,Animalia,Chordata,Amphibia,Anura,Hylidae,Litoria,,Vulnerable,Vulnerable,Nature Conservation Act 2014,Sensitive,1km,Locally extinct but protection required if relocated,Locally extinct
Frog,,Litoria verreauxii alpina,"(Fry, 1915)",Alpine Tree Frog,,,Litoria verreauxii alpina,accepted,subspecies,Animalia,Chordata,Amphibia,Anura,Hylidae,Litoria,,Vulnerable,Vulnerable,Nature Conservation Act 2014,Sensitive,1km,Risk of disturbance,
Frog,,Pseudophryne pengilleyi,"Wells & Wellington, 1985",Northern Corroboree Frog,Galaangga ,,Pseudophryne pengilleyi,accepted,species,Animalia,Chordata,Amphibia,Anura,Myobatrachidae,Pseudophryne,,Critically Endangered,Critically Endangered,Nature Conservation Act 2014,Sensitive,1km,Risk of disturbance,
Invertebrate,Butterfly,Acrodipsas aurata,"Sands, 1997",Golden Ant-blue,,,Acrodipsas aurata,accepted,species,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Acrodipsas,,,,,Sensitive,1km,Risk of disturbance,Protected Native Species | Trade restricted
Invertebrate,Butterfly,Acrodipsas brisbanensis,"(Miskin, 1884)",Bronze Ant-blue,,,Acrodipsas brisbanensis,accepted,species,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Acrodipsas,,,,,Sensitive,1km,Risk of disturbance,Protected Native Species | Trade restricted
Invertebrate,Butterfly,Acrodipsas myrmecophila,"(Waterhouse & Lyell, 1913)",Small Ant-blue,,,Acrodipsas myrmecophila,accepted,species,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Acrodipsas,,,,,Extreme,10km,Risk of disturbance,Protected Native Species | Trade restricted
Invertebrate,Butterfly,Anisynta monticolae,"(Olliff, 1890)",Montane Grass-skipper,,,Anisynta monticolae,accepted,species,Animalia,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Anisynta,,,,,Sensitive,1km,Risk of disturbance,Protected Native Species | Trade restricted
Invertebrate,Butterfly,Herimosa albovenata,"(Waterhouse, 1940)",White-veined Sand-skipper,,,Herimosa albovenata,accepted,species,Animalia,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Herimosa,,,,,Sensitive,1km,Risk of disturbance,
Invertebrate,Butterfly,Hesperilla donnysa,"Hewitson, 1868",Varied Sedge-skipper,,Hesperilla donnysa donnysa,Hesperilla donnysa,accepted,species,Animalia,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Hesperilla,,,,,Sensitive,1km,Risk of disturbance,
Invertebrate,Butterfly,Heteronympha banksii,"(Leach, 1814)",Banks' Brown,,Heteronympha banksii banksii,Heteronympha banksii,accepted,species,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Heteronympha,,,,,Sensitive,1km,Risk of disturbance,Protected Native Species | Trade restricted
Invertebrate,Butterfly,Hypochrysops byzos,"(Boisduval, 1832)",Yellow Jewel,,,Hypochrysops byzos,accepted,species,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Hypochrysops,,,,,Extreme,10km,Risk of disturbance,Protected Native Species | Trade restricted
Invertebrate,Butterfly,Hypochrysops delicia,"Hewitson, 1875",Moonlight Jewel,,Hypochrysops delicia delicia,Hypochrysops delicia,accepted,species,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Hypochrysops,,,,,Sensitive,1km,Risk of disturbance,Protected Native Species | Trade restricted
Invertebrate,Butterfly,Oreixenica latialis,"Waterhouse & Lyell, 1914",Small Alpine Xenica,,Oreixenica latialis latialis,Oreixenica latialis,accepted,species,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Oreixenica,,,,,Sensitive,1km,Risk of disturbance,Protected Native Species | Trade restricted
Invertebrate,Butterfly,Paralucia spinifera,"Edwards & Common, 1978",Bathurst or Purple Copper Butterfly,,,Paralucia spinifera,accepted,species,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Paralucia,,,Vulnerable,,Sensitive,1km,Risk of disturbance,Protected Native Species | Trade restricted
Invertebrate,Butterfly,Pseudalmenus chlorinda,"(Blanchard, 1848)",Silky Hairstreak,,,Pseudalmenus chlorinda,accepted,species,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Pseudalmenus,,,,,Sensitive,1km,Risk of disturbance,Protected Native Species | Trade restricted
Invertebrate,Butterfly,Toxidia peron,"(Latreille, 1824)",Dingy Grass-skipper,,,Toxidia peron,accepted,species,Animalia,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Toxidia,,,,,Sensitive,1km,Risk of disturbance,
Invertebrate,Crayfish,Euastacus armatus,"(von Martens, 1866)",Murray River Crayfish,Murunung,,Euastacus armatus,accepted,species,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,Euastacus,,Vulnerable,,Nature Conservation Act 2014,Sensitive,1km,Risk of disturbance,
Invertebrate,Crayfish,Euastacus crassus,"(Riek, 1951)",Alpine (Spiny) Crayfish,,,Euastacus crassus,accepted,species,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,Euastacus,,,,,Sensitive,1km,Risk of disturbance,Protected Native Species | Trade restricted
Invertebrate,Crayfish,Euastacus rieki,"Morgan, 1997",Riek's Crayfish,,,Euastacus rieki,accepted,species,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,Euastacus,,,,,Sensitive,1km,Risk of disturbance,Protected Native Species | Trade restricted
Invertebrate,Dragonfly and Damelfly,Austroaeschna flavomaculata,"Tillyard, 1916",Alpine Darner,,,Austroaeschna flavomaculata,accepted,species,Animalia,Arthropoda,Insecta,Odonata,Telephlebiidae,Austroaeschna,,,,,Sensitive,1km,Risk of disturbance,Protected Native Species | Trade restricted
Invertebrate,Dragonfly and Damelfly,Austropetalia tonyana,"Theischinger, 1995",Alpine Redspot,,,Austropetalia tonyana,accepted,species,Animalia,Arthropoda,Insecta,Odonata,Austropetaliidae,Austropetalia,,,,,Sensitive,1km,Risk of disturbance,Protected Native Species | Trade restricted
Invertebrate,Spider,Maratus harrisi,"Otto & Hill, 2011",Harris's Peacock Spider,,,Maratus harrisi,accepted,species,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Maratus,,,,,Sensitive,1km,Risk of disturbance,Protected Native Species | Trade restricted
Mammal,,Bettongia gaimardi,"(Desmarest, 1822)",Eastern Bettong,Ngaluda,Bettongia gaimardi  gaimardi,Bettongia gaimardi,accepted,species,Animalia,Chordata,Mammalia,Diprotodontia,Potoroidae,Bettongia,Reintroduced to the ACT. Subspecies present Bettongia gaimardi gaimardi.,Regionally Conservation Dependent,Extinct,Nature Conservation Act 2014,Sensitive,1km,Risk of disturbance,
Mammal,,Cervus elaphus,"Linnaeus, 1758",Red Deer,,,Cervus elaphus,accepted,species,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Cervus,,,,,Sensitive,1km,"Target of illegal hunters in conservation areas, can lead to significant damage to park infrastructure and conservation values",Introduced
Mammal,,Cervus unicolor,"Kerr, 1792",Sambar Deer,,,Cervus unicolor,accepted,species,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Cervus,,,,,Sensitive,1km,"Target of illegal hunters in conservation areas, can lead to significant damage to park infrastructure and conservation values",Introduced
Mammal,,Dama dama,"Linnaeus, 1758",Fallow Deer,,,Dama dama,accepted,species,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Dama,,,,,Sensitive,1km,"Target of illegal hunters in conservation areas, can lead to significant damage to park infrastructure and conservation values",Introduced
Mammal,,Equus caballus,"Linnaeus, 1758","Feral Horse, Brumby",,,Equus (Equus) caballus,accepted,species,Animalia,Chordata,Mammalia,Perissodactyla,Equidae,Equus,,,,,Sensitive,1km,"Target of illegal hunters in conservation areas, can lead to significant damage to park infrastructure and conservation values",Introduced
Mammal,,Isoodon obesulus,"(Shaw, 1797)",Southern Brown Bandicoot,,Isoodon obesulus obesulus,Isoodon obesulus,accepted,species,Animalia,Chordata,Mammalia,Peramelemorphia,Peramelidae,Isoodon,only subspecies in ACT is subsp. obesulus,Endangered,Endangered,Nature Conservation Act 2014,Sensitive,1km,Risk of disturbance,"The subsp. obesulus is listed as threatened in the ACT, all records in the ACT are considered to be the subsp. obesulus"
Mammal,,Isoodon obesulus obesulus,"(Shaw, 1797)",Southern Brown Bandicoot (Eastern),,,Isoodon obesulus obesulus,accepted,subspecies,Animalia,Chordata,Mammalia,Peramelemorphia,Peramelidae,Isoodon,only subspecies in ACT is subsp. obesulus,Endangered,Endangered,Nature Conservation Act 2014,Sensitive,1km,Risk of disturbance,"The subsp. obesulus is listed as threatened in the ACT, all records in the ACT are considered to be the subsp. obesulus"
Mammal,,Mastacomys fuscus,"Thomas, 1882",Broad-toothed Rat,Luda,Mastacomys fuscus mordicus,Mastacomys fuscus,accepted,subspecies,Animalia,Chordata,Mammalia,Rodentia,Muridae,Mastacomys,only subspecies in ACT is subsp. mordicus,Vulnerable,Vulnerable,Nature Conservation Act 2014,Sensitive,1km,Risk of disturbance,
Mammal,,Petauroides volans,"(Kerr, 1792)",Greater Glider,Banguu,,Petauroides volans,accepted,species,Animalia,Chordata,Mammalia,Diprotodontia,Pseudocheiridae,Petauroides,,Vulnerable,Endangered,Nature Conservation Act 2014,Sensitive,1km,Risk of disturbance,
Mammal,,Petaurus australis,"Shaw, 1791",Yellow-bellied Glider,,Petaurus australis australis,Petaurus australis,accepted,species,Animalia,Chordata,Mammalia,Diprotodontia,Petauridae,Petaurus,,,Vulnerable,,Sensitive,1km,Risk of disturbance,
Mammal,,Petrogale penicillata,"(Gray, 1825)",Brush-tailed Rock-wallaby,,,Petrogale penicillata,accepted,species,Animalia,Chordata,Mammalia,Diprotodontia,Macropodidae,Petrogale,,Endangered,Vulnerable,Nature Conservation Act 2014,Extreme,10km,Risk of disturbance,
Mammal,,Phascolarctos cinereus,"(Goldfuss, 1817)",Koala,Gula,,Phascolarctos cinereus,accepted,species,Animalia,Chordata,Mammalia,Diprotodontia,Phascolarctidae,Phascolarctos,,Vulnerable,Endangered,Nature Conservation Act 2014,Sensitive,1km,Risk of disturbance,
Mammal,,Sus scrofa,"Linnaeus, 1758",Feral Pig,,,Sus scrofa,accepted,species,Animalia,Chordata,Mammalia,Artiodactyla,Suidae,Sus,,,,,Sensitive,1km,"Target of illegal hunters in conservation areas, can lead to significant damage to park infrastructure and conservation values",Introduced
Plant,Daisy,Craspedia aurantia var. aurantia,J.Everett & Joy Thomps.,Orange Billy Button,,,Craspedia aurantia var. aurantia,accepted,variety,Plantae,Charophyta,Equisetopsida,Asterales,Asteraceae,Craspedia,,,,,Sensitive,1km,Risk of disturbance,ACT Rare Plant List
Plant,Daisy,Craspedia aurantia var. jamesii,(J.Everett & Joy Thomps.) Schmidt-Leb.,,,,Craspedia aurantia var. jamesii,accepted,variety,Plantae,Charophyta,Equisetopsida,Asterales,Asteraceae,Craspedia,,,,,Sensitive,1km,Risk of disturbance,
Plant,Daisy,Craspedia canens,J.Everett & Doust,Grey Billy Button,,,Craspedia canens,accepted,species,Plantae,Charophyta,Equisetopsida,Asterales,Asteraceae,Craspedia,,,,,Sensitive,1km,Risk of disturbance,ACT Rare Plant List
Plant,Daisy,Craspedia lamicola,J.Everett & Joy Thomps.,Bog Billy Button,,,Craspedia lamicola,accepted,species,Plantae,Charophyta,Equisetopsida,Asterales,Asteraceae,Craspedia,,,,,Sensitive,1km,Risk of disturbance,ACT Rare Plant List
Plant,Daisy,Myriocephalus rhizocephalus,(DC.) Benth.,Woolly-Heads,,,Myriocephalus rhizocephalus,accepted,species,Plantae,Charophyta,Equisetopsida,Asterales,Asteraceae,Myriocephalus,,,,,Sensitive,1km,Risk of disturbance,
Plant,Ferns & Allies,Asplenium bulbiferum,G.Forst.,Hen and Chicken Fern,,,Asplenium bulbiferum,accepted,species,Plantae,Charophyta,Equisetopsida,Polypodiales,Aspleniaceae,Asplenium,,Protected,,,Sensitive,1km,Risk of disturbance,Protected Native Species | Trade restricted | ACT Rare Plant List
Plant,Ferns & Allies,Asplenium gracillimum,Colenso,Mother Spleenwort,,Asplenium bulbiferum subsp. gracillimum,Asplenium gracillimum,accepted,species,Plantae,Charophyta,Equisetopsida,Polypodiales,Aspleniaceae,Asplenium,,,,,Sensitive,1km,Risk of disturbance,ACT Rare Plant List
Plant,Ferns & Allies,Asplenium trichomanes,L.,Common Spleenwort,,,Asplenium trichomanes,accepted,species,Plantae,Charophyta,Equisetopsida,Polypodiales,Aspleniaceae,Asplenium,,,,,Sensitive,1km,Risk of disturbance,ACT Rare Plant List
Plant,Ferns & Allies,Blechnum cartilagineum,Sw.,Gristle Fern,,,Blechnum cartilagineum,accepted,species,Plantae,Charophyta,Equisetopsida,Polypodiales,Blechnaceae,Blechnum,,,,,Sensitive,1km,Risk of disturbance,ACT Rare Plant List
Plant,Ferns & Allies,Blechnum fluviatile,(R.Br.) Lowe ex Salomon,Way Water Fern,,,Blechnum fluviatile,accepted,species,Plantae,Charophyta,Equisetopsida,Polypodiales,Blechnaceae,Blechnum,,,,,Sensitive,1km,Risk of disturbance,ACT Rare Plant List
Plant,Ferns & Allies,Botrychium australe,R.Br.,Austral Moonwort,,,Botrychium australe,accepted,species,Plantae,Charophyta,Equisetopsida,Ophioglossales,Ophioglossaceae,Botrychium,,,,,Sensitive,1km,Risk of disturbance,ACT Rare Plant List
Plant,Ferns & Allies,Botrychium lunaria,(L.) Sw.,Grassy Moonwort,,,Botrychium lunaria,accepted,species,Plantae,Charophyta,Equisetopsida,Ophioglossales,Ophioglossaceae,Botrychium,,,,,Sensitive,1km,Risk of disturbance,ACT Rare Plant List
Plant,Ferns & Allies,Dicksonia antarctica,Labill.,Soft Treefern,,,Dicksonia antarctica,accepted,species,Plantae,Charophyta,Equisetopsida,Cyatheales,Dicksoniaceae,Dicksonia,,Protected,,,Sensitive,1km,Risk of disturbance,Protected Native Species | Trade restricted
Plant,Ferns & Allies,Diplazium australe,(R.Br.) N.A.Wakef.,Austral Lady Fern,,,Diplazium australe,accepted,species,Plantae,Charophyta,Equisetopsida,Polypodiales,Woodsiaceae,Diplazium,,,,,Sensitive,1km,Risk of disturbance,ACT Rare Plant List
Plant,Ferns & Allies,Gleichenia dicarpa,R.Br.,Wiry Coral Fern,,,Gleichenia dicarpa,accepted,species,Plantae,Charophyta,Equisetopsida,Gleicheniales,Gleicheniaceae,Gleichenia,,,,,Sensitive,1km,Risk of disturbance,ACT Rare Plant List
Plant,Ferns & Allies,Gleichenia microphylla,R.Br.,Scrambling Coral Fern,,,Gleichenia microphylla,accepted,species,Plantae,Charophyta,Equisetopsida,Gleicheniales,Gleicheniaceae,Gleichenia,,,,,Sensitive,1km,Risk of disturbance,ACT Rare Plant List
Plant,Ferns & Allies,Histiopteris incisa,(Thunb.) J.Sm.,Bat's Wing Fern,,,Histiopteris incisa,accepted,species,Plantae,Charophyta,Equisetopsida,Polypodiales,Dennstaedtiaceae,Histiopteris,,Protected,,,Sensitive,1km,Risk of disturbance,Protected Native Species | Trade restricted | ACT Rare Plant List
Plant,Ferns & Allies,Hymenophyllum cupressiforme,Labill.,Common Filmy Fern,,,Hymenophyllum cupressiforme,accepted,species,Plantae,Charophyta,Equisetopsida,Hymenophyllales,Hymenophyllaceae,Hymenophyllum,,Protected,,,Sensitive,1km,Risk of disturbance,Protected Native Species | Trade restricted | ACT Rare Plant List
Plant,Ferns & Allies,Lycopodium deuterodensum,Herter,Bushy Club Moss,,,Lycopodium deuterodensum,accepted,species,Plantae,Charophyta,Equisetopsida,Lycopodiales,Lycopodiaceae,Lycopodium,,,,,Sensitive,1km,Risk of disturbance,ACT Rare Plant List
Plant,Ferns & Allies,Marsilea costulifera,D.L.Jones,Narrow-Leaf Nardoo,,,Marsilea costulifera,accepted,species,Plantae,Charophyta,Equisetopsida,Salviniales,Marsileaceae,Marsilea,,,,,Sensitive,1km,Risk of disturbance,ACT Rare Plant List
Plant,Ferns & Allies,Marsilea mutica,Mett.,Nardoo,,,Marsilea mutica,accepted,species,Plantae,Charophyta,Equisetopsida,Salviniales,Marsileaceae,Marsilea,,,,,Sensitive,1km,Risk of disturbance,ACT Rare Plant List
Plant,Ferns & Allies,Notogrammitis billardierei,(Willd.) Parris,Finger Fern,,,Notogrammitis billardierei,accepted,species,Plantae,Charophyta,Equisetopsida,Polypodiales,Polypodiaceae,Notogrammitis,,,,,Sensitive,1km,Risk of disturbance,ACT Rare Plant List
Plant,Ferns & Allies,Pilularia novae-hollandiae,A.Braun,Austral Pillwort,,,Pilularia novae-hollandiae,accepted,species,Plantae,Charophyta,Equisetopsida,Salviniales,Marsileaceae,Pilularia,,Protected,,,Sensitive,1km,Risk of disturbance,Protected Native Species | Trade restricted | ACT Rare Plant List
Plant,Ferns & Allies,Pleurosorus subglandulosus,(Hook. & Grev.) Tindale,Blanket Fern,,,Pleurosorus subglandulosus,accepted,species,Plantae,Charophyta,Equisetopsida,Polypodiales,Aspleniaceae,Pleurosorus,,,,,Sensitive,1km,Risk of disturbance,ACT Rare Plant List
Plant,Ferns & Allies,Sticherus lobatus,N.A.Wakef.,Spreading Fan Fern,,,Sticherus lobatus,accepted,species,Plantae,Charophyta,Equisetopsida,Gleicheniales,Gleicheniaceae,Sticherus,,,,,Sensitive,1km,Risk of disturbance,ACT Rare Plant List
Plant,Ferns & Allies,Todea barbara,(L.) T.Moore,King Fern,,,Todea barbara,accepted,species,Plantae,Charophyta,Equisetopsida,Osmundales,Osmundaceae,Todea,,Protected,,,Sensitive,1km,Risk of disturbance,Protected Native Species | Trade restricted | ACT Rare Plant List
Plant,Orchid,Acianthus collinus,D.L.Jones,Inland Mosquito Orchid,,,Acianthus collinus,accepted,species,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Acianthus,,,,,Sensitive,1km,Risk of disturbance,ACT Rare Plant List
Plant,Orchid,Acianthus exsertus,R.Br.,Large Mosquito Orchid,,,Acianthus exsertus,accepted,species,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Acianthus,,,,,Sensitive,1km,Risk of disturbance,
Plant,Orchid,Bunochilus montanus,D.L.Jones,Montane Leafy Greenhood,,Pterostylis montana,Pterostylis jonesii,homotypic synonym,species,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Bunochilus,,,,,Sensitive,1km,Risk of disturbance,ACT Rare Plant List
Plant,Orchid,Bunochilus umbrinus,D.L.Jones,Broad-sepaled Leafy Greenhood,,Pterostylis umbrina,Pterostylis umbrina,homotypic synonym,species,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Bunochilus,,,,,Sensitive,1km,Risk of disturbance,ACT Rare Plant List
Plant,Orchid,Caladenia actensis,D.L.Jones & M.A.Clem.,Canberra Spider Orchid,,Arachnorchis actensis,Caladenia actensis,accepted,species,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Caladenia,,Critically Endangered,Critically Endangered,Nature Conservation Act 2014,Extreme,10km,Risk of disturbance,ACT Rare Plant List
Plant,Orchid,Caladenia aestiva,D.L.Jones,Mountain Summer Spider Orchid,,,Caladenia aestiva,accepted,species,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Caladenia,,,,,Extreme,10km,Risk of disturbance,ACT Rare Plant List
Plant,Orchid,Caladenia armata,(D.L.Jones) G.N.Backh.,Majura Spider Orchid,,,Caladenia armata,accepted,species,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Caladenia,,,,,Extreme,10km,Risk of disturbance,ACT Rare Plant List
Plant,Orchid,Caladenia atrovespa,(D.L.Jones) G.N.Backh.,Green-Comb Spider Orchid or Fringed Spider Orchid,,Caladenia tentaculata,Caladenia atrovespa,accepted,species,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Caladenia,,,,,Sensitive,1km,Risk of disturbance,
Plant,Orchid,Caladenia congesta,R.Br.,Pink Caps,,,Caladenia congesta,accepted,species,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Caladenia,,,,,Sensitive,1km,Risk of disturbance,ACT Rare Plant List
Plant,Orchid,Caladenia dimorpha,Fitzg.,,,,Caladenia dimorpha,accepted,species,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Caladenia,,,,,Sensitive,1km,Risk of disturbance,
Plant,Orchid,Caladenia filamentosa,R.Br.,Daddy Long-Legs,,Jonesiopsis filamentosa,Caladenia filamentosa,accepted,species,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Caladenia,,,,,Sensitive,1km,Risk of disturbance,ACT Rare Plant List
Plant,Orchid,Caladenia mentiens,D.L.Jones,Cryptic Pink-Fingers,,,Caladenia mentiens,accepted,species,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Caladenia,,,,,Sensitive,1km,Risk of disturbance,ACT Rare Plant List
Plant,Orchid,Caladenia montana,G.W.Carr,Mountain Spider Orchid,,,Caladenia montana,accepted,species,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Caladenia,,,,,Sensitive,1km,Risk of disturbance,ACT Rare Plant List
Plant,Orchid,Caladenia parva,G.W.Carr,Brown-Clubbed Spider Orchid,,"Caladenia phaeoclavia, Arachnorchis phaeoclavia",Caladenia parva,accepted,species,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Caladenia,,,,,Sensitive,1km,Risk of disturbance,
Plant,Orchid,Caladenia testacea,R.Br.,Honey Caladenia,,,Caladenia testacea,accepted,species,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Caladenia,,,,,Sensitive,1km,Risk of disturbance,
Plant,Orchid,Caleana minor,R.Br.,Small Duck Orchid,,,Caleana minor,accepted,species,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Caleana,,,,,Sensitive,1km,Risk of disturbance,ACT Rare Plant List
Plant,Orchid,Calochilus campestris,R.Br.,Copper Beard Orchid,,"Calochilus montanus, Calochilus saprophyticus",Calochilus campestris,accepted,species,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Calochilus,,,,,Sensitive,1km,Risk of disturbance,
Plant,Orchid,Calochilus gracillimus,Rupp,Brownish Beard Orchid,,Calochilus sandrae,Calochilus gracillimus,accepted,species,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Calochilus,,,,,Sensitive,1km,Risk of disturbance,ACT Rare Plant List
Plant,Orchid,Calochilus montanus,D.L.Jones,Copper Beard Orchid,,Calochilus saprophyticus,Calochilus campestris,heteroptypic synonym,species,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Calochilus,,,,,Sensitive,1km,Risk of disturbance,ACT Rare Plant List
