scientificName,kingdom,family,vernacularName,generalisation,category
Pedionomus torquatus,Animalia,Pedionomidae,Plains-wanderer,1km,Category 3
Pterostylis oreophila,Plantae,Orchidaceae,Blue-tongued Greenhood,10km,Category 2
Genoplesium baueri,Plantae,Orchidaceae,Bauer's Midge Orchid,10km,Category 2
Banksia conferta,Plantae,Proteaceae,,10km,Category 2
Diuris tricolor,Plantae,Orchidaceae,Pine Donkey Orchid,10km,Category 2
Cryptostylis hunteriana,Plantae,Orchidaceae,Leafless Tongue Orchid,10km,Category 2
Peristeranthus hillii,Plantae,Orchidaceae,Brown Fairy-chain Orchid,10km,Category 2
Thelymitra epipactoides,Plantae,Orchidaceae,,10km,Category 2
Arthropteris palisotii,Plantae,Davalliaceae,Lesser Creeping Fern,1km,Category 3
Lindsaea fraseri,Plantae,Lindsaeaceae,Fraser's Screw Fern,1km,Category 3
Callistemon linearifolius,Plantae,Myrtaceae,Netted Bottle Brush,1km,Category 3
Drynaria rigidula,Plantae,Polypodiaceae,Basket Fern,1km,Category 3
Lindsaea incisa,Plantae,Lindsaeaceae,Slender Screw Fern,1km,Category 3
Prostanthera marifolia,Plantae,Lamiaceae,Seaforth Mintbush,1km,Category 3
Euphrasia scabra,Plantae,Orobanchaceae,Rough Eyebright,1km,Category 3
Diuris praecox,Plantae,Orchidaceae,Rough Doubletail,10km,Category 2
Allocasuarina portuensis,Plantae,Casuarinaceae,Nielsen Park She-oak,1km,Category 3
Elaeocarpus williamsianus,Plantae,Elaeocarpaceae,Hairy Quandong,1km,Category 3
Eucalyptus imlayensis,Plantae,Myrtaceae,Imlay Mallee,1km,Category 3
Indigofera efoliata,Plantae,Fabaceae (Faboideae),Leafless Indigo,1km,Category 3
Hakea pulvinifera,Plantae,Proteaceae,Lake Keepit Hakea,10km,Category 2
Rhizanthella slateri,Plantae,Orchidaceae,Eastern Australian Underground Orchid,10km,Category 2
Gentiana bredboensis,Plantae,Gentianaceae,Bredbo Gentian,10km,Category 2
Sarcochilus dilatatus,Plantae,Orchidaceae,Brown Butterfly Orchid,10km,Category 2
Diuris venosa,Plantae,Orchidaceae,Veined Doubletail,10km,Category 2
Bulbophyllum globuliforme,Plantae,Orchidaceae,Hoop Pine Orchid,10km,Category 2
Gentiana wingecarribiensis,Plantae,Gentianaceae,Wingecarribee Gentian,1km,Category 3
Pterostylis cobarensis,Plantae,Orchidaceae,Greenhood Orchid,10km,Category 2
Sarcochilus weinthalii,Plantae,Orchidaceae,Blotched Sarcochilus,10km,Category 2
Sarcochilus fitzgeraldii,Plantae,Orchidaceae,Ravine Orchid,10km,Category 2
Phaius australis,Plantae,Orchidaceae,Southern Swamp Orchid,10km,Category 2
Diploglottis campbellii,Plantae,Sapindaceae,Small-leaved Tamarind,10km,Category 2
Sarcochilus hartmannii,Plantae,Orchidaceae,Hartman's Sarcochilus,10km,Category 2
Chiloglottis anaticeps,Plantae,Orchidaceae,Bird Orchid,10km,Category 2
Diuris pedunculata,Plantae,Orchidaceae,Small Snake Orchid,10km,Category 2
Grevillea mollis,Plantae,Proteaceae,Soft Grevillea,1km,Category 3
Grevillea iaspicula,Plantae,Proteaceae,Wee Jasper Grevillea,10km,Category 2
Lastreopsis hispida,Plantae,Dryopteridaceae,Bristly Shield Fern,1km,Category 3
Prasophyllum fuscum,Plantae,Orchidaceae,Slaty Leek Orchid,10km,Category 2
Angiopteris evecta,Plantae,Marattiaceae,Giant Fern,10km,Category 2
Pterostylis alpina,Plantae,Orchidaceae,Alpine Greenhood,10km,Category 2
Prasophyllum affine,Plantae,Orchidaceae,Jervis Bay Leek Orchid,10km,Category 2
Pterostylis pulchella,Plantae,Orchidaceae,Waterfall Greenhood,10km,Category 2
Platyzoma microphyllum,Plantae,Pteridaceae,Braid Fern,1km,Category 3
Genoplesium rhyoliticum,Plantae,Orchidaceae,Rhyolite Midge Orchid,10km,Category 2
Pilularia novae-hollandiae,Plantae,Marsileaceae,Austral Pillwort,1km,Category 3
Geodorum densiflorum,Plantae,Orchidaceae,Pink Nodding Orchid,10km,Category 2
Lindsaea brachypoda,Plantae,Lindsaeaceae,Short-footed Screw Fern,1km,Category 3
Zieria adenophora,Plantae,Rutaceae,Araluen Zieria,10km,Category 2
Cymbidium canaliculatum,Plantae,Orchidaceae,Tiger Orchid,10km,Category 2
Eucalyptus copulans,Plantae,Myrtaceae,,1km,Category 3
Pterostylis nigricans,Plantae,Orchidaceae,Dark Greenhood,10km,Category 2
Trachymene scapigera,Plantae,Araliaceae,Mountain Trachymene,1km,Category 3
Diuris disposita,Plantae,Orchidaceae,Willawarrin Doubletail,10km,Category 2
Psilotum complanatum,Plantae,Psilotaceae,Flat Fork Fern,1km,Category 3
Myriophyllum implicatum,Plantae,Haloragaceae,,10km,Category 2
Caladenia arenaria,Plantae,Orchidaceae,Sand-hill Spider Orchid,10km,Category 2
Lysimachia vulgaris var. davurica,Plantae,Primulaceae,Yellow Loosestrife,1km,Category 3
Diuris bracteata,Plantae,Orchidaceae,,10km,Category 2
Diuris aequalis,Plantae,Orchidaceae,Buttercup Doubletail,10km,Category 2
Gyrostemon thesioides,Plantae,Gyrostemonaceae,,1km,Category 3
Oberonia complanata,Plantae,Orchidaceae,Yellow-flowered King of the Fairies,10km,Category 2
Leucopogon confertus,Plantae,Ericaceae,Torrington Beard-heath,1km,Category 3
Grevillea divaricata,Plantae,Proteaceae,,1km,Category 3
Grevillea beadleana,Plantae,Proteaceae,Beadle's Grevillea,1km,Category 3
Diuris flavescens,Plantae,Orchidaceae,Pale Yellow Doubletail,10km,Category 2
Prostanthera staurophylla,Plantae,Lamiaceae,Moombahlene Mint-bush,10km,Category 2
Pterostylis chaetophora,Plantae,Orchidaceae,,10km,Category 2
Persoonia hirsuta,Plantae,Proteaceae,Hairy Geebung,1km,Category 3
Caladenia tessellata,Plantae,Orchidaceae,Thick Lip Spider Orchid,10km,Category 2
Dendrobium melaleucaphilum,Plantae,Orchidaceae,Spider orchid,10km,Category 2
Acacia dangarensis,Plantae,Fabaceae (Mimosoideae),,1km,Category 3
Isotoma fluviatilis subsp. fluviatilis,Plantae,Campanulaceae,,1km,Category 3
Fontainea oraria,Plantae,Euphorbiaceae,Coastal Fontainea,10km,Category 2
Pterostylis foliata,Plantae,Orchidaceae,Slender Greenhood,10km,Category 2
Pimelea venosa,Plantae,Thymelaeaceae,Bolivia Hill Rice-flower,1km,Category 3
Oberonia titania,Plantae,Orchidaceae,Red-flowered King of the Fairies,10km,Category 2
Pterostylis gibbosa,Plantae,Orchidaceae,Illawarra Greenhood,10km,Category 2
Grevillea caleyi,Plantae,Proteaceae,Caley's Grevillea,1km,Category 3
Caladenia concolor,Plantae,Orchidaceae,Crimson Spider Orchid,10km,Category 2
Caladenia rosella,Plantae,Orchidaceae,Rosella Spider Orchid,10km,Category 2
Cheilanthes sieberi subsp. pseudovellea,Plantae,Pteridaceae,,1km,Category 3
Grammitis stenophylla,Plantae,Grammitidaceae,Narrow-leaf Finger Fern,1km,Category 3
Grevillea masonii,Plantae,Proteaceae,Mason's Grevillea,1km,Category 3
Prasophyllum petilum,Plantae,Orchidaceae,Tarengo Leek Orchid,10km,Category 2
Pterostylis sp. Botany Bay,Plantae,Orchidaceae,Botany Bay Bearded Orchid,10km,Category 2
Viola cleistogamoides,Plantae,Violaceae,Hidden Violet,1km,Category 3
Zieria buxijugum,Plantae,Rutaceae,Box Range Zieria,10km,Category 2
Zieria formosa,Plantae,Rutaceae,Shapely Zieria,10km,Category 2
Zieria parrisiae,Plantae,Rutaceae,Parris' Zieria,10km,Category 2
Genoplesium superbum,Plantae,Orchidaceae,Superb Midge Orchid,10km,Category 2
Microtis angusii,Plantae,Orchidaceae,Angus's Onion Orchid,10km,Category 2
Micromyrtus grandis,Plantae,Myrtaceae,Severn River Heath-myrtle,1km,Category 3
Pterostylis saxicola,Plantae,Orchidaceae,Sydney Plains Greenhood,10km,Category 2
Cyclodomorphus praealtus,Animalia,Scincidae,Alpine She-oak Skink,10km,Category 2
Pseudophryne pengilleyi,Animalia,Myobatrachidae,Northern Corroboree Frog,10km,Category 2
Genoplesium plumosum,Plantae,Orchidaceae,Tallong Midge Orchid,10km,Category 2
Angophora exul,Plantae,Myrtaceae,Gibraltar Rock Apple,1km,Category 3
Eucalyptus dissita,Plantae,Myrtaceae,Gibraltar Mallee,1km,Category 3
Baeckea kandos,Plantae,Myrtaceae,,1km,Category 3
Pomaderris adnata,Plantae,Rhamnaceae,Sublime Point Pomaderris,1km,Category 3
Prostanthera palustris,Plantae,Lamiaceae,Swamp Mint-bush,1km,Category 3
Pimelea axiflora subsp. pubescens,Plantae,Thymelaeaceae,Bungonia Rice-flower,10km,Category 2
Pterostylis elegans,Plantae,Orchidaceae,Elegant Greenhood,10km,Category 2
Pterostylis metcalfei,Plantae,Orchidaceae,Metcalfe's Greenhood,10km,Category 2
Eucalyptus pachycalyx subsp. banyabba,Plantae,Myrtaceae,Banyabba Shiny-barked Gum,1km,Category 3
Pultenaea sp. Olinda,Plantae,Fabaceae (Faboideae),,1km,Category 3
Persoonia pauciflora,Plantae,Proteaceae,North Rothbury Persoonia,1km,Category 3
Typhonium sp. aff. brownii,Plantae,Araceae,Stinky Lily,1km,Category 3
Boronia boliviensis,Plantae,Rutaceae,Bolivia Hill Boronia,1km,Category 3
Diuris arenaria,Plantae,Orchidaceae,Sand Doubletail,10km,Category 2
Hakea archaeoides,Plantae,Proteaceae,Big Nellie Hakea,1km,Category 3
Caladenia amnicola,Plantae,Orchidaceae,,10km,Category 2
Prasophyllum canaliculatum,Plantae,Orchidaceae,Summer Leek Orchid,10km,Category 2
Davidsonia jerseyana,Plantae,Cunoniaceae,Davidson's Plum,10km,Category 2
Acacia atrox,Plantae,Fabaceae (Mimosoideae),Myall Creek Wattle,1km,Category 3
Nurus atlas,Animalia,Carabidae,Atlas Rainforest Ground-beetle,1km,Category 3
Nurus brevis,Animalia,Carabidae,Shorter Rainforest Ground-beetle,1km,Category 3
Wollemia nobilis,Plantae,Araucariaceae,Wollemi Pine,WITHHOLD,Category 1
"Diuris sp. (Oaklands, D.L. Jones 5380)",Plantae,Orchidaceae,Oaklands Diuris,10km,Category 2
Caladenia attenuata,Plantae,Orchidaceae,Duramana Fingers,10km,Category 2
Calyptorhynchus banksii banksii,Animalia,Cacatuidae,Red-tailed Black-Cockatoo (coastal subspecies),10km,Category 2
Calyptorhynchus banksii samueli,Animalia,Cacatuidae,Red-tailed Black-Cockatoo (inland subspecies),10km,Category 2
Calyptorhynchus lathami lathami,Animalia,Cacatuidae,South-eastern Glossy Black-Cockatoo,10km,Category 2
Pezoporus wallicus wallicus,Animalia,Psittacidae,Eastern Ground Parrot,1km,Category 3
Tyto longimembris,Animalia,Tytonidae,Eastern Grass Owl,1km,Category 3
Genoplesium vernale,Plantae,Orchidaceae,East Lynne Midge Orchid,10km,Category 2
Prasophyllum retroflexum,Plantae,Orchidaceae,Kiandra Leek Orchid,10km,Category 2
Eidothea hardeniana,Plantae,Proteaceae,Nightcap Oak,10km,Category 2
Thelymitra adorata,Plantae,Orchidaceae,Wyong Sun Orchid,10km,Category 2
Liopholis guthega,Animalia,Scincidae,Guthega Skink,10km,Category 2
Thelymitra atronitida,Plantae,Orchidaceae,Black-hooded Sun Orchid,10km,Category 2
Diuris ochroma,Plantae,Orchidaceae,Pale Golden Moths,10km,Category 2
Philoria pughi,Animalia,Limnodynastidae,,10km,Category 2
Philoria richmondensis,Animalia,Limnodynastidae,,10km,Category 2
Corybas dowlingii,Plantae,Orchidaceae,Red Helmet Orchid,10km,Category 2
Pterostylis despectans,Plantae,Orchidaceae,,10km,Category 2
Caladenia montana,Plantae,Orchidaceae,,10km,Category 2
Pultenaea sp. Genowlan Point,Plantae,Fabaceae (Faboideae),,1km,Category 3
Tympanocryptis pinguicolla,Animalia,Agamidae,Grassland Earless Dragon,1km,Category 3
Pultenaea elusa,Plantae,Fabaceae (Faboideae),Elusive Bush-pea,1km,Category 3
Genoplesium littorale,Plantae,Orchidaceae,Tuncurry Midge Orchid,10km,Category 2
Pomaderris walshii,Plantae,Rhamnaceae,Carrington Falls Pomaderris,10km,Category 2
Pandion cristatus,Animalia,Accipitridae,Eastern Osprey,1km,Category 3
Prasophyllum innubum,Plantae,Orchidaceae,,10km,Category 2
Prasophyllum keltonii,Plantae,Orchidaceae,Kelton's Leek Orchid,10km,Category 2
Thelymitra kangaloonica,Plantae,Orchidaceae,Kangaloon Sun Orchid,10km,Category 2
Calochilus pulchellus,Plantae,Orchidaceae,Pretty Beard Orchid,10km,Category 2
Prasophyllum sp. Moama,Plantae,Orchidaceae,,10km,Category 2
Jalmenus eubulus,Animalia,Lycaenidae,Pale Imperial Hairstreak,10km,Category 2
Prasophyllum pallens,Plantae,Orchidaceae,Musty Leek Orchid,10km,Category 2
Pterostylis bicornis,Plantae,Orchidaceae,Horned Greenhood,10km,Category 2
Genoplesium insigne,Plantae,Orchidaceae,Variable Midge Orchid,10km,Category 2
Prasophyllum bagoense,Plantae,Orchidaceae,,10km,Category 2
Diuris eborensis,Plantae,Orchidaceae,,10km,Category 2
Pterostylis riparia,Plantae,Orchidaceae,,10km,Category 2
Pterostylis ventricosa,Plantae,Orchidaceae,,10km,Category 2
Pterostylis vernalis,Plantae,Orchidaceae,,10km,Category 2
Corunastylis sp. Charmhaven (NSW896673),Plantae,Orchidaceae,,10km,Category 2
Elaeocarpus sedentarius,Plantae,Elaeocarpaceae,Minyon Quandong,1km,Category 3
Thelymitra alpicola,Plantae,Orchidaceae,Alpine Sun-orchid,10km,Category 2
Banksia vincentia,Plantae,Proteaceae,,10km,Category 2
Leionema lamprophyllum subsp. fractum,Plantae,Rutaceae,,10km,Category 2
Myuchelys georgesi,Animalia,Chelidae,Bellinger River Snapping Turtle,10km,Category 2
Prostanthera gilesii,Plantae,Lamiaceae,,10km,Category 2
Diuris byronensis,Plantae,Orchidaceae,Byron Bay Diuris,10km,Category 2
Hibbertia spanantha,Plantae,Dilleniaceae,Julian's Hibbertia,10km,Category 2
Gingidia rupicola,Plantae,Apiaceae,,1km,Category 3
Amytornis modestus inexpectatus,Animalia,Maluridae,Thick-billed Grasswren (central NSW subspecies),10km,Category 2
Amytornis modestus obscurior,Animalia,Maluridae,Thick-billed Grasswren (north-west NSW subspecies),10km,Category 2
Anthosachne kingiana subsp. kingiana,Plantae,Poaceae,Philip Island Wheat Grass,1km,Category 3
Caladenia tensa,Plantae,Orchidaceae,Rigid Spider-orchid,10km,Category 2
Caladenia atroclavia,Plantae,Orchidaceae,Black-clubbed Spider-orchid,10km,Category 2
Tympanocryptis osbornei,Animalia,Agamidae,Monaro Grassland Earless Dragon,1km,Category 3
Prasophyllum sandrae,Plantae,Orchidaceae,Majors Creek Leek Orchid,10km,Category 2
Backhousia subargentea,Plantae,Myrtaceae,Giant Ironwood,1km,Category 3
Lobelia claviflora,Plantae,Campanulaceae,,1km,Category 3
Danhatchia copelandii,Plantae,Orchidaceae,,10km,Category 2
Calyptorhynchus lathami,Animalia,Cacatuidae,Glossy Black-cockatoo,10km,Category 2
