scientificName,family,genus,vernacularName,generalisation,category
Cymbidium canaliculatum,Orchidaceae,Cymbidium,Tiger Orchid,10km,Category 2
Eucalyptus copulans,Myrtaceae,Eucalyptus,,1km,Category 3
Pterostylis nigricans,Orchidaceae,Pterostylis,Dark Greenhood,10km,Category 2
Trachymene scapigera,Araliaceae,Trachymene,Mountain Trachymene,1km,Category 3
Diuris disposita,Orchidaceae,Diuris,Willawarrin Doubletail,10km,Category 2
Psilotum complanatum,Psilotaceae,Psilotum,Flat Fork Fern,1km,Category 3
Myriophyllum implicatum,Haloragaceae,Myriophyllum,,10km,Category 2
Caladenia arenaria,Orchidaceae,Caladenia,Sand-hill Spider Orchid,10km,Category 2
Lysimachia vulgaris var. davurica,Primulaceae,Lysimachia,Yellow Loosestrife,1km,Category 3
Diuris bracteata,Orchidaceae,Diuris,,10km,Category 2
Diuris aequalis,Orchidaceae,Diuris,Buttercup Doubletail,10km,Category 2
Gyrostemon thesioides,Gyrostemonaceae,Gyrostemon,,1km,Category 3
Oberonia complanata,Orchidaceae,Oberonia,Yellow-flowered King of the Fairies,10km,Category 2
Leucopogon confertus,Ericaceae,Leucopogon,Torrington Beard-heath,1km,Category 3
Grevillea divaricata,Proteaceae,Grevillea,,1km,Category 3
Grevillea beadleana,Proteaceae,Grevillea,Beadle's Grevillea,1km,Category 3
Diuris flavescens,Orchidaceae,Diuris,Pale Yellow Doubletail,10km,Category 2
Prostanthera staurophylla,Lamiaceae,Prostanthera,Tenterfield Mint-bush,10km,Category 2
Pterostylis chaetophora,Orchidaceae,Pterostylis,,10km,Category 2
Persoonia hirsuta,Proteaceae,Persoonia,Hairy Geebung,1km,Category 3
Caladenia tessellata,Orchidaceae,Caladenia,Thick Lip Spider Orchid,10km,Category 2
Dendrobium melaleucaphilum,Orchidaceae,Dendrobium,Spider orchid,10km,Category 2
Acacia dangarensis,Fabaceae (Mimosoideae),Acacia,,1km,Category 3
Isotoma fluviatilis subsp. fluviatilis,Campanulaceae,Isotoma,,1km,Category 3
Fontainea oraria,Euphorbiaceae,Fontainea,Coastal Fontainea,10km,Category 2
Pterostylis foliata,Orchidaceae,Pterostylis,Slender Greenhood,10km,Category 2
Pimelea venosa,Thymelaeaceae,Pimelea,Bolivia Hill Rice-flower,1km,Category 3
Oberonia titania,Orchidaceae,Oberonia,Red-flowered King of the Fairies,10km,Category 2
Pterostylis gibbosa,Orchidaceae,Pterostylis,Illawarra Greenhood,10km,Category 2
Grevillea caleyi,Proteaceae,Grevillea,Caley's Grevillea,1km,Category 3
Caladenia concolor,Orchidaceae,Caladenia,Crimson Spider Orchid,10km,Category 2
Caladenia rosella,Orchidaceae,Caladenia,Rosella Spider Orchid,10km,Category 2
Cheilanthes sieberi subsp. pseudovellea,Pteridaceae,Cheilanthes,,1km,Category 3
Grammitis stenophylla,Grammitidaceae,Grammitis,Narrow-leaf Finger Fern,1km,Category 3
Grevillea masonii,Proteaceae,Grevillea,Mason's Grevillea,1km,Category 3
Prasophyllum petilum,Orchidaceae,Prasophyllum,Tarengo Leek Orchid,10km,Category 2
Pterostylis sp. Botany Bay,Orchidaceae,Pterostylis,Botany Bay Bearded Orchid,10km,Category 2
Viola cleistogamoides,Violaceae,Viola,Hidden Violet,1km,Category 3
Zieria buxijugum,Rutaceae,Zieria,Box Range Zieria,10km,Category 2
Zieria formosa,Rutaceae,Zieria,Shapely Zieria,10km,Category 2
Zieria parrisiae,Rutaceae,Zieria,Parris' Zieria,10km,Category 2
Genoplesium superbum,Orchidaceae,Genoplesium,Superb Midge Orchid,10km,Category 2
Microtis angusii,Orchidaceae,Microtis,Angus's Onion Orchid,10km,Category 2
Micromyrtus grandis,Myrtaceae,Micromyrtus,Severn River Heath-myrtle,1km,Category 3
Pterostylis saxicola,Orchidaceae,Pterostylis,Sydney Plains Greenhood,10km,Category 2
Cyclodomorphus praealtus,Scincidae,Cyclodomorphus,Alpine She-oak Skink,10km,Category 2
Pseudophryne pengilleyi,Myobatrachidae,Pseudophryne,Northern Corroboree Frog,10km,Category 2
Genoplesium plumosum,Orchidaceae,Genoplesium,Tallong Midge Orchid,10km,Category 2
Angophora exul,Myrtaceae,Angophora,Gibraltar Rock Apple,1km,Category 3
Eucalyptus dissita,Myrtaceae,Eucalyptus,Gibraltar Mallee,1km,Category 3
Baeckea kandos,Myrtaceae,Baeckea,,1km,Category 3
Pomaderris adnata,Rhamnaceae,Pomaderris,Sublime Point Pomaderris,1km,Category 3
Prostanthera palustris,Lamiaceae,Prostanthera,Swamp Mint-bush,1km,Category 3
Pimelea axiflora subsp. pubescens,Thymelaeaceae,Pimelea,Bungonia Rice-flower,10km,Category 2
Pterostylis elegans,Orchidaceae,Pterostylis,Elegant Greenhood,10km,Category 2
Pterostylis metcalfei,Orchidaceae,Pterostylis,Metcalfe's Greenhood,10km,Category 2
Eucalyptus pachycalyx subsp. banyabba,Myrtaceae,Eucalyptus,Banyabba Shiny-barked Gum,1km,Category 3
Pultenaea sp. Olinda,Fabaceae (Faboideae),Pultenaea,,1km,Category 3
Persoonia pauciflora,Proteaceae,Persoonia,North Rothbury Persoonia,1km,Category 3
Typhonium sp. aff. brownii,Araceae,Typhonium,Stinky Lily,1km,Category 3
Boronia boliviensis,Rutaceae,Boronia,Bolivia Hill Boronia,1km,Category 3
Diuris arenaria,Orchidaceae,Diuris,Sand Doubletail,10km,Category 2
Hakea archaeoides,Proteaceae,Hakea,Big Nellie Hakea,1km,Category 3
Leionema lamprophyllum subsp. obovatum,Rutaceae,Leionema,,10km,Category 2
Caladenia porphyrea,Orchidaceae,Caladenia,,10km,Category 2
Prasophyllum canaliculatum,Orchidaceae,Prasophyllum,Summer Leek Orchid,10km,Category 2
Davidsonia jerseyana,Cunoniaceae,Davidsonia,Davidson's Plum,10km,Category 2
Acacia atrox,Fabaceae (Mimosoideae),Acacia,Myall Creek Wattle,1km,Category 3
Nurus atlas,Carabidae,Nurus,Atlas Rainforest Ground-beetle,1km,Category 3
Nurus brevis,Carabidae,Nurus,Shorter Rainforest Ground-beetle,1km,Category 3
Wollemia nobilis,Araucariaceae,Wollemia,Wollemi Pine,WITHHOLD,Category 1
"Diuris sp. (Oaklands, D.L. Jones 5380)",Orchidaceae,Diuris,Oaklands Diuris,10km,Category 2
Caladenia attenuata,Orchidaceae,Caladenia,Duramana Fingers,10km,Category 2
Calyptorhynchus banksii banksii,Cacatuidae,Calyptorhynchus,Red-tailed Black-Cockatoo (coastal subspecies),10km,Category 2
Calyptorhynchus banksii samueli,Cacatuidae,Calyptorhynchus,Red-tailed Black-Cockatoo (inland subspecies),10km,Category 2
Pezoporus wallicus wallicus,Psittacidae,Pezoporus,Eastern Ground Parrot,1km,Category 3
Tyto longimembris,Tytonidae,Tyto,Eastern Grass Owl,1km,Category 3
Genoplesium vernale,Orchidaceae,Genoplesium,East Lynne Midge Orchid,10km,Category 2
Prasophyllum retroflexum,Orchidaceae,Prasophyllum,Kiandra Leek Orchid,10km,Category 2
Eidothea hardeniana,Proteaceae,Eidothea,Nightcap Oak,10km,Category 2
Thelymitra adorata,Orchidaceae,Thelymitra,Wyong Sun Orchid,10km,Category 2
Liopholis guthega,Scincidae,Liopholis,Guthega Skink,10km,Category 2
Thelymitra atronitida,Orchidaceae,Thelymitra,Black-hooded Sun Orchid,10km,Category 2
Diuris ochroma,Orchidaceae,Diuris,Pale Golden Moths,10km,Category 2
Philoria pughi,Limnodynastidae,Philoria,,10km,Category 2
Philoria richmondensis,Limnodynastidae,Philoria,,10km,Category 2
Corybas dowlingii,Orchidaceae,Corybas,Red Helmet Orchid,10km,Category 2
Pterostylis despectans,Orchidaceae,Pterostylis,,10km,Category 2
Caladenia montana,Orchidaceae,Caladenia,,10km,Category 2
Pultenaea sp. Genowlan Point,Fabaceae (Faboideae),Pultenaea,,1km,Category 3
Pultenaea elusa,Fabaceae (Faboideae),Pultenaea,Elusive Bush-pea,1km,Category 3
Genoplesium littorale,Orchidaceae,Genoplesium,Tuncurry Midge Orchid,10km,Category 2
Pomaderris walshii,Rhamnaceae,Pomaderris,Carrington Falls Pomaderris,10km,Category 2
Pandion cristatus,Accipitridae,Pandion,Eastern Osprey,1km,Category 3
Prasophyllum innubum,Orchidaceae,Prasophyllum,,10km,Category 2
Prasophyllum keltonii,Orchidaceae,Prasophyllum,Kelton's Leek Orchid,10km,Category 2
Thelymitra kangaloonica,Orchidaceae,Thelymitra,Kangaloon Sun Orchid,10km,Category 2
Calochilus pulchellus,Orchidaceae,Calochilus,Pretty Beard Orchid,10km,Category 2
Prasophyllum sp. Moama,Orchidaceae,Prasophyllum,,10km,Category 2
Jalmenus eubulus,Lycaenidae,Jalmenus,Pale Imperial Hairstreak,10km,Category 2
Prasophyllum pallens,Orchidaceae,Prasophyllum,Musty Leek Orchid,10km,Category 2
Pterostylis bicornis,Orchidaceae,Pterostylis,Horned Greenhood,10km,Category 2
Genoplesium insigne,Orchidaceae,Genoplesium,Variable Midge Orchid,10km,Category 2
Prasophyllum bagoense,Orchidaceae,Prasophyllum,,10km,Category 2
Diuris eborensis,Orchidaceae,Diuris,,10km,Category 2
Pterostylis riparia,Orchidaceae,Pterostylis,,10km,Category 2
Pterostylis ventricosa,Orchidaceae,Pterostylis,,10km,Category 2
Pterostylis vernalis,Orchidaceae,Pterostylis,,10km,Category 2
Corunastylis sp. Charmhaven (NSW896673),Orchidaceae,Corunastylis,,10km,Category 2
Elaeocarpus sedentarius,Elaeocarpaceae,Elaeocarpus,Minyon Quandong,1km,Category 3
Thelymitra alpicola,Orchidaceae,Thelymitra,Alpine Sun-orchid,10km,Category 2
Banksia vincentia,Proteaceae,Banksia,,10km,Category 2
Myuchelys georgesi,Chelidae,Myuchelys,Bellinger River Snapping Turtle,10km,Category 2
Prostanthera gilesii,Lamiaceae,Prostanthera,,10km,Category 2
Diuris byronensis,Orchidaceae,Diuris,Byron Bay Diuris,10km,Category 2
Hibbertia spanantha,Dilleniaceae,Hibbertia,Julian's Hibbertia,10km,Category 2
Gingidia rupicola,Apiaceae,Gingidia,,1km,Category 3
Amytornis modestus inexpectatus,Maluridae,Amytornis,Thick-billed Grasswren (central NSW subspecies),10km,Category 2
Amytornis modestus obscurior,Maluridae,Amytornis,Thick-billed Grasswren (north-west NSW subspecies),10km,Category 2
Anthosachne kingiana subsp. kingiana,Poaceae,Anthosachne,Philip Island Wheat Grass,1km,Category 3
Caladenia tensa,Orchidaceae,Caladenia,Rigid Spider-orchid,10km,Category 2
Caladenia atroclavia,Orchidaceae,Caladenia,Black-clubbed Spider-orchid,10km,Category 2
Prasophyllum sandrae,Orchidaceae,Prasophyllum,Majors Creek Leek Orchid,10km,Category 2
Backhousia subargentea,Myrtaceae,Backhousia,Giant Ironwood,1km,Category 3
