taxonId,scientificName,vernacularName,WA Status,WA Rank,DBCA District,Distribution,taxonRemarks,status,sourceStatus,status description,class,category,sensitivityZoneId
13622,Caladenia viridescens,,T,CR,Blackwood,Dunsborough,,Critically Endangered,CR,Critically Endangered,,CR,WA
19873,Caladenia williamsiae,,T,CR,Great Southern,Brookton,,Critically Endangered,CR,Critically Endangered,,CR,WA
1213,Calectasia cyanea,,T,CR,Albany,Albany,,Critically Endangered,CR,Critically Endangered,,CR,WA
33657,Calochilus pruinosus,,T,CR,"Albany,Esperance","Hopetoun, Eyre",,Critically Endangered,CR,Critically Endangered,,CR,WA
13653,Calytrix breviseta subsp. breviseta,,T,CR,"Perth Hills,Swan Coastal","Kenwick (Gosnells, Bellevue)",,Critically Endangered,CR,Critically Endangered,,CR,WA
13115,Chorizema humile,,T,CR,"Moora,Geraldton","Strawberry, Carnamah, Geraldton, Kojarena, Coorow",,Critically Endangered,CR,Critically Endangered,,CR,WA
40871,Commersonia apella,,T,CR,"Esperance,Donnelly,Frankland","Denmark, Pemberton, Walpole, Cape Le Grand N.P.",,Critically Endangered,CR,Critically Endangered,,CR,WA
40921,Commersonia erythrogyna,,T,CR,"Blackwood,Wellington",West Arthur,,Critically Endangered,CR,Critically Endangered,,CR,WA
14002,Conospermum galeatum,,T,CR,Central Wheatbelt,"Kellerberrin, Yilgarn",,Critically Endangered,CR,Critically Endangered,,CR,WA
11363,Conostylis setigera subsp. dasys,,T,CR,Great Southern,Kojonup,,Critically Endangered,CR,Critically Endangered,,CR,WA
5507,Darwinia carnea,,T,CR,"Moora,Great Southern","Narrogin, Mogumber",,Critically Endangered,CR,Critically Endangered,,CR,WA
5509,Darwinia collina,,T,CR,Albany,Stirling Range,,Critically Endangered,CR,Critically Endangered,,CR,WA
5516,Darwinia masonii,,T,CR,Geraldton,"Ninghan, Mt Gibson",,Critically Endangered,CR,Critically Endangered,,CR,WA
34765,Darwinia whicherensis,,T,CR,"Blackwood,Wellington","Williamson (below Whicher Range), Boyanup",,Critically Endangered,CR,Critically Endangered,,CR,WA
41022,Dasymalla axillaris,,T,CR,"Geraldton,Swan Coastal,Central Wheatbelt","Pithara, Morawa, Lake Moore, Gnangara, Wongan Hills, Maya, Caron, Buntine, Latham, Perenjori",,Critically Endangered,CR,Critically Endangered,,CR,WA
13630,Daviesia bursarioides,,T,CR,Moora,Three Springs,,Critically Endangered,CR,Critically Endangered,,CR,WA
16988,Daviesia cunderdin,,T,CR,Central Wheatbelt,Cunderdin,,Critically Endangered,CR,Critically Endangered,,CR,WA
3810,Daviesia euphorbioides,,T,CR,Central Wheatbelt,Cadoux-Wongan Hills,,Critically Endangered,CR,Critically Endangered,,CR,WA
15067,Daviesia glossosema,,T,CR,Albany,Stirling Range NP,,Critically Endangered,CR,Critically Endangered,,CR,WA
12327,Daviesia microcarpa,,T,CR,Esperance,"NE of Norseman, Southern Cross",,Critically Endangered,CR,Critically Endangered,,CR,WA
3828,Daviesia ovata,,T,CR,Albany,Mt Manypeaks,,Critically Endangered,CR,Critically Endangered,,CR,WA
12331,Daviesia pseudaphylla,,T,CR,Albany,Stirling Range,,Critically Endangered,CR,Critically Endangered,,CR,WA
13634,Drakaea confluens,,T,CR,"Blackwood,Albany,Wellington","Boyup Brook, Stirling Range, Muja Conservation Park, Haddleton N.R.",,Critically Endangered,CR,Critically Endangered,,CR,WA
1639,Drakaea elastica,,T,CR,"Blackwood,Moora,Perth Hills,Swan Coastal,Wellington","Gingin-Busselton, Lake Guraga",,Critically Endangered,CR,Critically Endangered,,CR,WA
13828,Drakaea isolata,,T,CR,Great Southern,Lake Chinocup,,Critically Endangered,CR,Critically Endangered,,CR,WA
28351,Eremophila glabra subsp. Scaddan (C. Turley s.n. 10/11/2005),,T,CR,Esperance,Scadden,,Critically Endangered,CR,Critically Endangered,,CR,WA
20190,Eremophila koobabbiensis,,T,CR,Moora,Coorow,,Critically Endangered,CR,Critically Endangered,,CR,WA
7229,Eremophila lactea,,T,CR,Esperance,West of Grass Patch,,Critically Endangered,CR,Critically Endangered,,CR,WA
7244,Eremophila nivea,,T,CR,Moora,W of Three Springs,,Critically Endangered,CR,Critically Endangered,,CR,WA
16039,Eremophila pinnatifida,,T,CR,Central Wheatbelt,Dalwallinu,,Critically Endangered,CR,Critically Endangered,,CR,WA
31192,Eremophila rostrata subsp. rostrata,,T,CR,Geraldton,Cue,,Critically Endangered,CR,Critically Endangered,,CR,WA
31191,Eremophila rostrata subsp. trifida,,T,CR,Geraldton,Perenjori,,Critically Endangered,CR,Critically Endangered,,CR,WA
7266,Eremophila scaberula,,T,CR,Moora,Moora,,Critically Endangered,CR,Critically Endangered,,CR,WA
48632,Eremophila subangustifolia,,T,CR,Moora,"Lake Logue, Eneabba",,Critically Endangered,CR,Critically Endangered,,CR,WA
13642,Eremophila subteretifolia,,T,CR,Great Southern,"Lake Pallarup-Oldfield River, Lake Milarup",,Critically Endangered,CR,Critically Endangered,,CR,WA
7279,Eremophila verticillata,,T,CR,Great Southern,NW of Ravensthorpe,,Critically Endangered,CR,Critically Endangered,,CR,WA
13093,Eucalyptus absita,,T,CR,Moora,Badgingarra,,Critically Endangered,CR,Critically Endangered,,CR,WA
13546,Eucalyptus dolorosa,,T,CR,Moora,W of Dandaragan,,Critically Endangered,CR,Critically Endangered,,CR,WA
13532,Eucalyptus impensa,,T,CR,Moora,S of Eneabba,,Critically Endangered,CR,Critically Endangered,,CR,WA
13090,Eucalyptus x balanites,,T,CR,"Moora,Swan Coastal","Badgingarra, Armadale",,Critically Endangered,CR,Critically Endangered,,CR,WA
13024,Eucalyptus x phylacis,,T,CR,Blackwood,W of Busselton,,Critically Endangered,CR,Critically Endangered,,CR,WA
44440,Gastrolobium argyrotrichum,,T,CR,Blackwood,Quindalup,,Critically Endangered,CR,Critically Endangered,,CR,WA
19113,Gastrolobium diabolophyllum,,T,CR,Central Wheatbelt,Dulyalbin,,Critically Endangered,CR,Critically Endangered,,CR,WA
3902,Gastrolobium glaucum,,T,CR,Central Wheatbelt,Wongan Hills,,Critically Endangered,CR,Critically Endangered,,CR,WA
3904,Gastrolobium hamulosum,,T,CR,"Moora,Central Wheatbelt","Wongan Hills, Calingiri",,Critically Endangered,CR,Critically Endangered,,CR,WA
20493,Gastrolobium luteifolium,,T,CR,Albany,"Stirling Range, Mt Trio",,Critically Endangered,CR,Critically Endangered,,CR,WA
20509,Gastrolobium papilio,,T,CR,Blackwood,"Williamson (below Whicher Range), Busselton, Abba Block",,Critically Endangered,CR,Critically Endangered,,CR,WA
20492,Gastrolobium vestitum,,T,CR,Albany,Stirling Range,,Critically Endangered,CR,Critically Endangered,,CR,WA
49924,Grammosolen odgersii subsp. occidentalis,,T,CR,Central Wheatbelt,Cowcowing,,Critically Endangered,CR,Critically Endangered,,CR,WA
33558,Grevillea althoferorum subsp. althoferorum,,T,CR,Moora,Eneabba,,Critically Endangered,CR,Critically Endangered,,CR,WA
33559,Grevillea althoferorum subsp. fragilis,,T,CR,Perth Hills,Bullsbrook,,Critically Endangered,CR,Critically Endangered,,CR,WA
1960,Grevillea batrachioides,,T,CR,Moora,Mt Lesueur,,Critically Endangered,CR,Critically Endangered,,CR,WA
19414,Grevillea brachystylis subsp. grandis,,T,CR,Blackwood,"Busselton (Whicher Range), Jindong",,Critically Endangered,CR,Critically Endangered,,CR,WA
33579,Grevillea bracteosa subsp. howatharra,,T,CR,"Moora,Geraldton","Geraldton, Howatharra",,Critically Endangered,CR,Critically Endangered,,CR,WA
12221,Grevillea calliantha,,T,CR,Moora,Cataby-Dandaragan,,Critically Endangered,CR,Critically Endangered,,CR,WA
14408,Grevillea curviloba subsp. curviloba,,T,CR,"Perth Hills,Swan Coastal","Bullsbrook, Muchea",Name has changed on the WA Plant Census to Grevillea curviloba. Reference: No subspecies recognised. See B.J. Keighery et al. in W.Austral.Naturalist 31:125 (2020),Critically Endangered,CR,Critically Endangered,,CR,WA
14411,Grevillea dryandroides subsp. dryandroides,,T,CR,Central Wheatbelt,Ballidu,,Critically Endangered,CR,Critically Endangered,,CR,WA
15987,Grevillea humifusa,,T,CR,Moora,"Eragilga Hills, Jurien",,Critically Endangered,CR,Critically Endangered,,CR,WA
17112,Grevillea maccutcheonii,,T,CR,Blackwood,Tutunup,,Critically Endangered,CR,Critically Endangered,,CR,WA
2038,Grevillea maxwellii,,T,CR,Albany,Pallinup River,,Critically Endangered,CR,Critically Endangered,,CR,WA
2063,Grevillea phanerophlebia,,T,CR,Geraldton,"Mullewa, Mingenew, Eradu",,Critically Endangered,CR,Critically Endangered,,CR,WA
13941,Grevillea pythara,,T,CR,Central Wheatbelt,Pithara,,Critically Endangered,CR,Critically Endangered,,CR,WA
2091,Grevillea scapigera,,T,CR,Great Southern,Brookton-Hyden,,Critically Endangered,CR,Critically Endangered,,CR,WA
31354,Grevillea sp. Gillingarra (R.J. Cranfield 4087),,T,CR,Moora,Gillingarra,,Critically Endangered,CR,Critically Endangered,,CR,WA
2107,Grevillea thelemanniana,,T,CR,Swan Coastal,Kenwick,,Critically Endangered,CR,Critically Endangered,,CR,WA
17289,Guichenotia seorsiflora,,T,CR,Great Southern,"Youndegin, Corrigin",,Critically Endangered,CR,Critically Endangered,,CR,WA
2785,Gyrostemon reticulatus,,T,CR,Central Wheatbelt,"Wubin, Kalannie, Tardun, Perenjori",,Critically Endangered,CR,Critically Endangered,,CR,WA
6177,Haloragis platycarpa,,T,CR,Central Wheatbelt,Dalwallinu,,Critically Endangered,CR,Critically Endangered,,CR,WA
6835,Hemiandra gardneri,,T,CR,Moora,Coorow-Moora,,Critically Endangered,CR,Critically Endangered,,CR,WA
6841,Hemiandra rutilans,,T,CR,Central Wheatbelt,Dowerin,,Critically Endangered,CR,Critically Endangered,,CR,WA
6867,Hemigenia ramosissima,,T,CR,Great Southern,Beaufort River,,Critically Endangered,CR,Critically Endangered,,CR,WA
46534,Hibbertia abyssus,,T,CR,Albany,"Ravensthorpe Range, Bandalup Hill",,Critically Endangered,CR,Critically Endangered,,CR,WA
49220,Hibbertia barrettiae,,T,CR,Albany,Stirling Range N.P.,,Critically Endangered,CR,Critically Endangered,,CR,WA
5217,Hybanthus cymulosus,,T,CR,Geraldton,"Mt Singleton, Ninghan",,Critically Endangered,CR,Critically Endangered,,CR,WA
25898,Isopogon robustus,,T,CR,Central Wheatbelt,"Parker Range, Marvel Loch",,Critically Endangered,CR,Critically Endangered,,CR,WA
2242,Isopogon uncinatus,,T,CR,Albany,Albany,,Critically Endangered,CR,Critically Endangered,,CR,WA
14744,Jacksonia pungens,,T,CR,Moora,Sth of Marchagee,,Critically Endangered,CR,Critically Endangered,,CR,WA
31892,Kunzea similis subsp. similis,,T,CR,Albany,Fitzgerald River NP,,Critically Endangered,CR,Critically Endangered,,CR,WA
13647,Lambertia echinata subsp. echinata,,T,CR,Esperance,E of Esperance,,Critically Endangered,CR,Critically Endangered,,CR,WA
17734,Lambertia echinata subsp. occidentalis,,T,CR,Blackwood,"Busselton, Whicher Range",,Critically Endangered,CR,Critically Endangered,,CR,WA
2246,Lambertia fairallii,,T,CR,Albany,Stirling Range NP,,Critically Endangered,CR,Critically Endangered,,CR,WA
19187,Lambertia orbifolia subsp. orbifolia,,T,CR,Albany,Narrikup,,Critically Endangered,CR,Critically Endangered,,CR,WA
48348,Lasiopetalum moullean,,T,CR,Central Wheatbelt,Mount Caroline N.R.,,Critically Endangered,CR,Critically Endangered,,CR,WA
17000,Lasiopetalum pterocarpum,,T,CR,Perth Hills,Serpentine Falls,,Critically Endangered,CR,Critically Endangered,,CR,WA
51191,Latrobea colophon,,T,CR,Albany,Stirling Range,,Critically Endangered,CR,Critically Endangered,,CR,WA
6398,Leucopogon gnaphalioides,,T,CR,Albany,Stirling Range,,Critically Endangered,CR,Critically Endangered,,CR,WA
40800,Leucopogon stokesii,,T,CR,Geraldton,Arrino,,Critically Endangered,CR,Critically Endangered,,CR,WA
17740,Lysiosepalum abollatum,,T,CR,Central Wheatbelt,Wongan Hills,,Critically Endangered,CR,Critically Endangered,,CR,WA
35522,Marianthus aquilonaris,,T,CR,Esperance,"Bremer Range, Ravensthorpe Range",,Critically Endangered,CR,Critically Endangered,,CR,WA
14565,Persoonia micranthera,,T,CR,Albany,Stirling Range N.P.,,Critically Endangered,CR,Critically Endangered,,CR,WA
14085,Petrophile latericola,,T,CR,Blackwood,"Ruabon, Williamson",,Critically Endangered,CR,Critically Endangered,,CR,WA
13497,Philotheca basistyla,,T,CR,Central Wheatbelt,Trayning,,Critically Endangered,CR,Critically Endangered,,CR,WA
42560,Pityrodia scabra subsp. scabra,,T,CR,Central Wheatbelt,Cowcowing,,Critically Endangered,CR,Critically Endangered,,CR,WA
37460,Pterostylis sinuata,,T,CR,Geraldton,NW of Northampton,,Critically Endangered,CR,Critically Endangered,,CR,WA
2753,Ptilotus pyramidatus,,T,CR,Swan Coastal,Kenwick,,Critically Endangered,CR,Critically Endangered,,CR,WA
23538,Rhacocarpus rehmannianus var. webbianus,,T,CR,"Donnelly,Frankland","Mt Chudalup, Mt Roe N.P.",,Critically Endangered,CR,Critically Endangered,,CR,WA
1699,Rhizanthella gardneri,,T,CR,"Esperance,Great Southern,Central Wheatbelt",Wubin-Munglinup,,Critically Endangered,CR,Critically Endangered,,CR,WA
48612,Rhizanthella johnstonii,,T,CR,Esperance,Munglinup,,Critically Endangered,CR,Critically Endangered,,CR,WA
7622,Scaevola macrophylla,,T,CR,Albany,Cape Riche,,Critically Endangered,CR,Critically Endangered,,CR,WA
50261,Stenanthera localis,,T,CR,Esperance,Cascade,,Critically Endangered,CR,Critically Endangered,,CR,WA
48193,Stenanthera pungens,,T,CR,Great Southern,Chinocup,,Critically Endangered,CR,Critically Endangered,,CR,WA
23470,Stylidium amabile,,T,CR,Geraldton,Latham,,Critically Endangered,CR,Critically Endangered,,CR,WA
25803,Stylidium applanatum,,T,CR,Great Southern,Corrigin,,Critically Endangered,CR,Critically Endangered,,CR,WA
17410,Stylidium semaphorum,,T,CR,Perth Hills,Wannamal,,Critically Endangered,CR,Critically Endangered,,CR,WA
49982,Styphelia capillaris,,T,CR,Perth Hills,"Wandoo CP, York",,Critically Endangered,CR,Critically Endangered,,CR,WA
48294,Styphelia longissima,,T,CR,Moora,Eneabba,,Critically Endangered,CR,Critically Endangered,,CR,WA
7044,Symonanthus bancroftii,,T,CR,Central Wheatbelt,Bruce Rock,,Critically Endangered,CR,Critically Endangered,,CR,WA
18590,Synaphea sp. Fairbridge Farm (D. Papenfus 696),,T,CR,"Swan Coastal,Wellington","Pinjarra, Dardanup, Serpentine, Kooljerrenup N.R., Dardanup",,Critically Endangered,CR,Critically Endangered,,CR,WA
19055,Synaphea sp. Pinjarra (R. Davis 6578),,T,CR,Swan Coastal,Dandalup,,Critically Endangered,CR,Critically Endangered,,CR,WA
28354,Synaphea sp. Serpentine (G.R. Brand 103),,T,CR,"Swan Coastal,Wellington","Serpentine, Mundijong, Byford, Yarloop",,Critically Endangered,CR,Critically Endangered,,CR,WA
16749,Synaphea stenoloba,,T,CR,"Perth Hills,Swan Coastal",Pinjarra,,Critically Endangered,CR,Critically Endangered,,CR,WA
4529,Tetratheca deltoidea,,T,CR,Central Wheatbelt,Mt Caroline,,Critically Endangered,CR,Critically Endangered,,CR,WA
23988,Tetratheca paynterae subsp. paynterae,,T,CR,Kalgoorlie,Windarling Range,,Critically Endangered,CR,Critically Endangered,,CR,WA
13687,Thelymitra dedmaniarum,,T,CR,"Perth Hills,Swan Coastal","Gidgegannup, Red Hill, Boonanarring NR",,Critically Endangered,CR,Critically Endangered,,CR,WA
20729,Thelymitra magnifica,,T,CR,Perth Hills,"Red Hill, Darling Range, Forrestfield",,Critically Endangered,CR,Critically Endangered,,CR,WA
14248,Thomasia sp. Green Hill (S. Paust 1322),,T,CR,Moora,New Norcia,,Critically Endangered,CR,Critically Endangered,,CR,WA
12389,Verticordia albida,,T,CR,"Moora,Geraldton","Three Springs, Eneabba, Wicherina",,Critically Endangered,CR,Critically Endangered,,CR,WA
14660,Verticordia apecta,,T,CR,Frankland,Mount Barker,,Critically Endangered,CR,Critically Endangered,,CR,WA
12448,Verticordia plumosa var. ananeotes,,T,CR,"Blackwood,Swan Coastal","Busselton, Serpentine - Blackwood",,Critically Endangered,CR,Critically Endangered,,CR,WA
12462,Verticordia spicata subsp. squamosa,,T,CR,Moora,"Three Springs, Morawa",,Critically Endangered,CR,Critically Endangered,,CR,WA
12464,Verticordia staminosa subsp. cylindracea var. erecta,,T,CR,Great Southern,Newdegate,,Critically Endangered,CR,Critically Endangered,,CR,WA
15614,Verticordia staminosa subsp. staminosa,,T,CR,Central Wheatbelt,Wongan Hills,,Critically Endangered,CR,Critically Endangered,,CR,WA
,Aipysurus apraefrontalis,short-nosed seasnake,,,,,,Critically Endangered,CR,Critically Endangered,REPTILE,CR,WA
,Aipysurus foliosquama,leaf-scaled seasnake,,,,,,Critically Endangered,CR,Critically Endangered,REPTILE,CR,WA
,Bertmainius pandus,Toolbrunup pygmy trapdoor spider,,,,,,Critically Endangered,CR,Critically Endangered,INVERTEBRATE,CR,WA
,Bettongia penicillata ogilbyi,"woylie, brush-tailed bettong",,,,,,Critically Endangered,CR,Critically Endangered,MAMMAL,CR,WA
,Bunderia misophaga,a copepod (Bundera Sinkhole),,,,,,Critically Endangered,CR,Critically Endangered,INVERTEBRATE,CR,WA
,Calidris ferruginea,curlew sandpiper,,,,,30/09/2022 Repeal of migratory listing. Under the WA BC Act a species listed as threatened cannot also be listed as specially protected. ,Critically Endangered,CR,Critically Endangered,BIRD,CR,WA
,Calidris tenuirostris,great knot,,,,,30/09/2022 Repeal of migratory listing. Under the WA BC Act a species listed as threatened cannot also be listed as specially protected. ,Critically Endangered,CR,Critically Endangered,BIRD,CR,WA
,Cherax tenuimanus,Margaret River hairy marron,,,,,,Critically Endangered,CR,Critically Endangered,INVERTEBRATE,CR,WA
,Cristilabrum buryillum,Buryill Point camaenid land snail (Ningbing Ranges),,,,,,Critically Endangered,CR,Critically Endangered,INVERTEBRATE,CR,WA
,Cristilabrum grossum,a camaenid land snail (Ningbing Ranges),,,,,,Critically Endangered,CR,Critically Endangered,INVERTEBRATE,CR,WA
,Cristilabrum monodon,a camaenid land snail (Ningbing Ranges),,,,,,Critically Endangered,CR,Critically Endangered,INVERTEBRATE,CR,WA
,Cristilabrum primum,a camaenid land snail (Ningbing Ranges),,,,,,Critically Endangered,CR,Critically Endangered,INVERTEBRATE,CR,WA
,Cristilabrum rectum,a camaenid land snail (central Ningbing Ranges),,,,,,Critically Endangered,CR,Critically Endangered,INVERTEBRATE,CR,WA
,Cristilabrum simplex,a camaenid land snail (Ningbing Ranges),,,,,,Critically Endangered,CR,Critically Endangered,INVERTEBRATE,CR,WA
,Cristilabrum solitudum,a camaenid land snail (Ningbing Ranges),,,,,,Critically Endangered,CR,Critically Endangered,INVERTEBRATE,CR,WA
,Diomedea amsterdamensis ,Amsterdam albatross,,,,,"30/09/2022 Repeal of migratory listing. Under the WA BC Act a species listed as threatened cannot also be listed as specially protected. Second scientific name, Diomedea exulans amsterdamensis, removed from Order. ",Critically Endangered,CR,Critically Endangered,BIRD,CR,WA
,Diomedea dabbenena,Tristan albatross,,,,,"30/09/2022 Repeal of migratory listing. Under the WA BC Act a species listed as threatened cannot also be listed as specially protected. Second scientific name, Diomedea exulans dabbenena, removed from Order. ",Critically Endangered,CR,Critically Endangered,BIRD,CR,WA
,Engaewa pseudoreducta,Margaret River burrowing crayfish,,,,,,Critically Endangered,CR,Critically Endangered,INVERTEBRATE,CR,WA
,Geocrinia alba,white-bellied frog,,,,,,Critically Endangered,CR,Critically Endangered,AMPHIBIAN,CR,WA
,Hesperocolletes douglasi,Douglas's broad-headed bee,,,,,,Critically Endangered,CR,Critically Endangered,INVERTEBRATE,CR,WA
,Hurleya sp. (WAM C23193),Crystal Cave crangonyctoid,,,,,30/09/2022 Second common name removed. ,Critically Endangered,CR,Critically Endangered,INVERTEBRATE,CR,WA
,Indohya damocles,Cameron's Cave pseudoscorpion,,,,,,Critically Endangered,CR,Critically Endangered,INVERTEBRATE,CR,WA
,Kumonga exleyi,Cape Range remipede,,,,,,Critically Endangered,CR,Critically Endangered,INVERTEBRATE,CR,WA
,Kwonkan eboracum,Yorkrakine trapdoor spider,,,,,,Critically Endangered,CR,Critically Endangered,INVERTEBRATE,CR,WA
,Limosa lapponica menzbieri,bar-tailed godwit (Northern Siberian),,,,,,Critically Endangered,CR,Critically Endangered,BIRD,CR,WA
,Maratus sarahae,Sarah's peacock spider,,,,,,Critically Endangered,CR,Critically Endangered,INVERTEBRATE,CR,WA
,Mouldingia occidentalis,a camaenid land snail (eastern Napier Ranges),,,,,,Critically Endangered,CR,Critically Endangered,INVERTEBRATE,CR,WA
